cohort,activity_bucket,user_count,avg_reputation,median_reputation,p90_reputation,avg_score_per_answer,cohort_avg_score_per_answer,pct_reached_1k,pct_reached_10k,pct_reached_50k,avg_answers_in_bucket
Early (2008-2012),0_none,657508,51.63,1.0,83.0,0.0,,0.71,0.02,0.0,0.0
Early (2008-2012),1_1-5,423869,222.01,51.0,468.0,4.191,3.98,3.89,0.12,0.01,1.9
Early (2008-2012),2_6-20,139077,1056.74,535.0,2159.0,3.845,3.858,26.92,0.83,0.03,10.9
Early (2008-2012),3_21-100,86060,3379.53,1967.0,6953.0,4.068,4.074,77.54,5.4,0.17,44.3
Early (2008-2012),4_101-500,24657,12530.66,8286.0,25621.0,4.283,4.333,99.9,41.45,2.21,199.2
Early (2008-2012),5_500+,4613,75488.95,44756.0,155762.0,4.566,4.582,99.8,98.18,44.68,1423.5
Late (2018-2022),0_none,9815951,2.83,1.0,1.0,0.0,,0.0,0.0,0.0,0.0
Late (2018-2022),1_1-5,688681,35.66,11.0,81.0,0.901,0.903,0.13,0.0,0.0,1.5
Late (2018-2022),2_6-20,65762,206.76,125.0,448.0,0.923,0.926,1.69,0.0,0.0,10.0
Late (2018-2022),3_21-100,17461,767.85,578.0,1483.0,0.977,0.991,22.81,0.03,0.0,39.4
Late (2018-2022),4_101-500,2416,3704.42,2791.0,6919.0,1.082,1.105,96.98,3.97,0.0,190.1
Late (2018-2022),5_500+,301,24577.55,15476.0,41933.0,1.275,1.317,100.0,81.06,7.31,1167.9
