cohort,activity_bucket,user_count,avg_rep,median_rep,p75_rep,p90_rep,pct_1k,pct_5k,pct_10k,pct_25k,avg_answers
Early,01_1-2,319833,149.0,31.0,101.0,303.0,2.34,0.23,0.07,0.01,1.2
Early,02_3-5,104036,446.0,159.0,421.0,898.0,8.67,0.78,0.26,0.06,3.8
Early,03_6-10,75574,798.0,399.0,791.0,1609.0,18.86,1.66,0.55,0.1,7.7
Early,04_11-20,63503,1365.0,725.0,1392.0,2747.0,36.51,3.88,1.17,0.17,14.7
Early,05_21-50,58849,2625.0,1509.0,2814.0,5296.0,69.01,10.95,3.38,0.53,32.1
Early,06_51-100,27211,5011.0,3207.0,5629.0,9865.0,95.97,29.54,9.78,1.51,70.7
Early,07_101-200,15593,9134.0,6209.0,10457.0,17555.0,99.85,62.09,26.63,5.09,139.2
Early,08_201-500,9064,18374.0,13507.0,21886.0,35329.0,99.99,94.11,66.95,19.87,302.5
Early,09_501-1000,2751,39485.0,31235.0,48841.0,72788.0,99.85,99.67,97.13,63.47,684.3
Early,10_1000+,1862,128682.0,81713.0,146681.0,280981.0,99.73,99.73,99.73,95.6,2515.8
Late,01_1-2,593492,28.0,11.0,29.0,61.0,0.09,0.0,0.0,0.0,1.2
Late,02_3-5,95189,84.0,46.0,90.0,169.0,0.38,0.01,0.0,0.0,3.7
Late,03_6-10,42002,158.0,96.0,169.0,361.0,1.0,0.01,0.0,0.0,7.5
Late,04_11-20,23760,292.0,188.0,371.0,567.0,2.93,0.03,0.01,0.0,14.3
Late,05_21-50,13553,603.0,487.0,719.0,1074.0,11.89,0.14,0.01,0.0,30.8
Late,06_51-100,3908,1339.0,1142.0,1588.0,2203.0,60.67,0.87,0.1,0.03,69.3
Late,07_101-200,1653,2613.0,2288.0,3120.0,4302.0,95.7,5.87,0.54,0.06,137.4
Late,08_201-500,763,6069.0,5095.0,7249.0,10534.0,99.74,51.25,11.4,0.39,304.3
Late,09_501-1000,202,14445.0,12664.0,16586.0,23847.0,100.0,95.05,71.78,9.41,687.1
Late,10_1000+,99,45252.0,29718.0,42791.0,104264.0,100.0,100.0,100.0,67.68,2148.8
