Waiting on bqjob_r3e8e87f9e610d381_0000019c15bc15cf_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r3e8e87f9e610d381_0000019c15bc15cf_1 ... (0s) Current status: DONE   
tag,total_answers,total_score,total_positive_score,avg_score,median_score,p90_score,p99_score,pct_positive,pct_high_score_10plus,positive_answers,zero_answers,negative_answers,roi_rank
comments,1229,36576,36617,29.761,2,41,639,76.57,23.92,941,269,19,1
homebrew,1066,19684,19757,18.465,2,29,326,68.86,20.26,734,301,31,2
git,194634,2822265,2829547,14.5,1,13,224,70.24,12.72,136719,53747,4168,3
markdown,2269,29337,29479,12.929,2,18,241,73.6,17.01,1670,544,55,4
terminology,1116,13967,14007,12.515,2,24,233,76.25,18.91,851,240,25,5
sublimetext2,2270,26704,26785,11.764,2,18,201,71.76,16.3,1629,601,40,6
vim,35271,360858,361535,10.231,2,14,137,79.27,14.41,27960,6908,403,7
editor,1371,13495,13557,9.843,1,11,172,67.4,11.52,924,412,35,8
visual-studio-code,19215,182047,182843,9.474,1,13,154,62.71,13.07,12049,6678,488,9
memory-management,2480,23066,23138,9.301,1,7,89,69.4,7.58,1721,718,41,10
enums,1250,11459,11491,9.167,2,14,163,76.88,14.8,961,268,21,11
notepad++,2491,22604,22677,9.074,1,11,146,62.06,10.8,1546,893,52,12
language-agnostic,17647,156575,157315,8.873,2,12,133,74.6,12.83,13165,4163,319,13
windows-services,1335,11155,11204,8.356,1,9,156,64.34,9.66,859,449,27,14
http,20828,172610,173586,8.287,1,11,121,66.04,10.91,13754,6569,505,15
virtualbox,1160,9499,9554,8.189,1,13,157,59.74,12.5,693,435,32,16
intellij-idea,13116,106265,106601,8.102,1,15,127,69.25,13.93,9083,3807,226,17
pip,1212,9359,9424,7.722,1,13,113,61.72,12.71,748,430,34,18
curl,5295,40127,40311,7.578,1,8,111,58.56,8.76,3101,2097,97,19
syntax,3233,24357,24445,7.534,2,11,88,75.13,11.44,2429,753,51,20
maven-2,4059,30280,30432,7.46,2,16,118,72.51,15.55,2943,1043,73,21
ipython,1329,9756,9776,7.341,2,14,98,68.92,14.52,916,399,14,22
github,16231,119070,119694,7.336,1,11,114,63.9,10.94,10372,5520,339,23
zsh,1581,11554,11636,7.308,1,13,82,71.6,13.28,1132,423,26,24
formatting,1032,7383,7402,7.154,1,9,95,66.76,9.4,689,332,11,25
unicode,3894,27449,27598,7.049,2,11,107,74.68,11.74,2908,913,73,26
google-chrome-devtools,1008,7006,7074,6.95,1,16,107,66.17,14.78,667,305,36,27
compression,1296,8974,9012,6.924,1,8,81,68.52,9.03,888,390,18,28
nuget,2613,18068,18130,6.915,1,11,89,65.14,10.98,1702,863,48,29
openssl,2375,16421,16500,6.914,1,11,115,64.25,11.24,1526,803,46,30
oop,12902,88275,88602,6.842,1,8,82,69.96,8.75,9026,3667,209,31
terminal,2610,17839,17991,6.835,1,10,107,60.34,10.34,1575,960,75,32
command-line,4770,32175,32364,6.745,1,11,104,67.42,11.3,3216,1450,104,33
grep,2002,13444,13478,6.715,1,5,99,61.14,7.19,1224,755,23,34
dart,19754,128909,129618,6.526,2,13,93,72.46,12.7,14314,5036,404,35
android-studio,15239,99253,99779,6.513,1,9,105,53.61,9.74,8170,6698,371,36
ssh,7734,50104,50434,6.478,1,8,97,58.47,9.15,4522,3020,192,37
dictionary,3359,21515,21601,6.405,1,8,102,67.85,8.6,2279,1021,59,38
design-patterns,9925,63415,63635,6.389,1,8,93,69.04,8.69,6852,2939,134,39
xcode4,1133,7238,7298,6.388,1,12,94,63.46,12.53,719,387,27,40
path,1477,9254,9303,6.265,1,9,113,59.78,9.95,883,563,31,41
jestjs,1446,9045,9099,6.255,1,11,108,58.23,11.2,842,567,37,42
gdb,2192,13583,13627,6.197,1,10,107,71.49,10.58,1567,599,26,43
xcode,43143,266422,267925,6.175,1,10,92,60.93,10.16,26288,15961,894,44
raku,1334,8203,8211,6.149,6,11,17,97.45,17.32,1300,30,4,45
android-emulator,1200,7371,7423,6.143,1,11,107,55.67,10.75,668,504,28,46
protocol-buffers,1106,6749,6778,6.102,1,10,106,68.17,10.22,754,335,17,47
coding-style,2700,16415,16517,6.08,2,12,92,73.3,12.48,1979,677,44,48
functional-programming,5113,30820,30950,6.028,2,10,73,82.91,10.35,4239,817,57,49
graphviz,1240,7457,7472,6.014,1,13,90,73.39,12.82,910,320,10,50
bash,151115,907970,912108,6.008,1,6,81,68.8,6.39,103964,44431,2720,51
macos,57105,343048,345166,6.007,1,9,83,65.14,9.25,37196,18661,1248,52
autocomplete,1419,8448,8494,5.953,1,9,79,61.59,9.51,874,513,32,53
struct,1177,6984,7031,5.934,2,9,69,78.25,8.92,921,237,19,54
unix,18708,110969,111541,5.932,1,7,95,64.74,7.56,12112,6268,328,55
certificate,1051,6232,6257,5.93,1,9,93,58.71,9.23,617,417,17,56
phpstorm,1768,10472,10510,5.923,2,12,97,74.83,11.99,1323,420,25,57
proxy,2199,13005,13087,5.914,1,7,76,55.34,7.23,1217,928,54,58
permissions,1799,10633,10688,5.911,1,6,45,57.14,5.89,1028,742,29,59
docker,74781,439713,442703,5.88,1,7,85,61.06,8.06,45664,27364,1753,60
string,34207,200873,201929,5.872,1,7,76,67.28,7.55,23014,10532,661,61
hash,2785,16315,16418,5.858,1,9,102,69.16,9.41,1926,818,41,62
vagrant,3452,20188,20291,5.848,1,7,79,61.53,7.97,2124,1264,64,63
latex,6358,36909,37167,5.805,2,12,74,75.43,12.19,4796,1384,178,64
encoding,2423,13924,14022,5.747,1,8,98,63.89,7.92,1548,829,46,65
computer-science,1647,9417,9475,5.718,1,9,64,68.31,9.35,1125,486,36,66
redis,6689,38067,38253,5.691,1,9,78,68.37,9.33,4573,1993,123,67
programming-languages,5778,32468,32729,5.619,2,10,69,75.7,10.51,4374,1269,135,68
google-chrome,19547,108711,109786,5.562,1,9,87,60.66,9.6,11858,7042,647,69
ide,2732,15123,15172,5.536,1,9,83,72.14,9.52,1971,724,37,70
cmake,6936,38076,38306,5.49,1,10,79,69.36,10.86,4811,2000,125,71
makefile,10630,58142,58361,5.47,1,7,78,69.51,7.74,7389,3113,128,72
yaml,2008,10970,11054,5.463,1,8,96,67.63,8.57,1358,612,38,73
mercurial,7639,41560,41752,5.441,2,10,69,77.18,10.88,5896,1634,109,74
visual-studio,51988,282572,284321,5.435,1,8,80,63.22,8.98,32866,18059,1063,75
haskell,62968,341685,342316,5.426,3,11,40,89.54,12.01,56384,6234,350,76
composer-php,1250,6771,6856,5.417,1,9,84,59.84,9.44,748,449,53,77
npm,7171,38520,38844,5.372,1,9,93,57.02,9.86,4089,2882,200,78
x86,1701,8995,9038,5.288,2,9,54,85.54,9.35,1455,220,26,79
cygwin,1519,7936,7987,5.224,1,9,89,60.11,9.15,913,569,37,80
fonts,2758,14175,14245,5.14,1,8,67,63.49,8.3,1751,959,48,81
linux,197953,1014444,1022094,5.125,1,6,74,64.76,6.99,128204,64938,4811,82
anaconda,1227,6272,6314,5.112,1,9,78,58.76,9.45,721,476,30,83
tabs,1023,5202,5269,5.085,1,6,88,54.55,8.02,558,441,24,84
emacs,20888,106126,106422,5.081,2,10,56,79.6,10.82,16627,4077,184,85
rust,23044,116765,117263,5.067,2,9,52,83.35,9.61,19208,3525,311,86
concurrency,2218,11229,11294,5.063,2,9,87,73.81,8.52,1637,547,34,87
datetime,4847,24520,24665,5.059,1,7,61,63.42,7.14,3074,1677,96,88
gcc,9273,46772,47072,5.044,1,8,69,70.95,8.42,6579,2520,174,89
gradle,10694,53826,54098,5.033,1,8,65,63.68,9.06,6810,3718,166,90
dependency-injection,3169,15874,15946,5.009,1,8,60,72.26,7.79,2290,845,34,91
colors,2491,12465,12542,5.004,1,7,64,63.47,7.59,1581,868,42,92
frameworks,1291,6446,6471,4.993,1,6,95,60.34,6.89,779,495,17,93
floating-point,2221,11066,11148,4.982,2,7,56,75.78,6.8,1683,489,49,94
go,48766,242037,244257,4.963,2,8,70,72.85,8.74,35526,11830,1410,95
documentation,1359,6729,6751,4.951,1,9,79,74.25,9.42,1009,338,12,96
collections,1454,7091,7110,4.877,1,9,65,70.36,8.94,1023,416,15,97
svn,33788,164677,165797,4.874,1,8,67,68.62,8.21,23187,9947,654,98
configuration,3708,18066,18133,4.872,1,8,66,64.19,8.33,2380,1275,53,99
nosql,1561,7595,7632,4.865,1,8,69,72.2,8.52,1127,416,18,100
types,3150,15281,15328,4.851,2,8,48,80.22,8.13,2527,596,27,101
postgresql,65538,317246,318865,4.841,1,6,71,65.06,7.12,42640,21956,942,102
