tag,volume_tier,roi_tier,total_answers,total_score,avg_score,pct_positive,recent_answers,recent_avg_score,recent_trend,opportunity_score
visual-studio-code,3_medium (10K-30K),A_high_roi (5+),19215,182047,9.474,62.71,11674,2.697,declining,17.05
language-agnostic,3_medium (10K-30K),A_high_roi (5+),17647,156575,8.873,74.6,248,1.234,declining,13.31
http,3_medium (10K-30K),A_high_roi (5+),20828,172610,8.287,66.04,2950,1.572,declining,14.92
intellij-idea,3_medium (10K-30K),A_high_roi (5+),13116,106265,8.102,69.25,2988,2.523,declining,14.58
github,3_medium (10K-30K),A_high_roi (5+),16231,119070,7.336,63.9,6573,2.58,declining,13.2
oop,3_medium (10K-30K),A_high_roi (5+),12902,88275,6.842,69.96,835,1.384,declining,10.26
dart,3_medium (10K-30K),A_high_roi (5+),19754,128909,6.526,72.46,6902,3.304,declining,11.75
android-studio,3_medium (10K-30K),A_high_roi (5+),15239,99253,6.513,53.61,5896,2.433,declining,11.72
unix,3_medium (10K-30K),A_high_roi (5+),18708,110969,5.932,64.74,1539,0.951,declining,10.68
google-chrome,3_medium (10K-30K),A_high_roi (5+),19547,108711,5.562,60.66,3469,2.036,declining,10.01
makefile,3_medium (10K-30K),A_high_roi (5+),10630,58142,5.47,69.51,1737,1.036,declining,9.85
emacs,3_medium (10K-30K),A_high_roi (5+),20888,106126,5.081,79.6,1085,1.036,declining,9.15
rust,3_medium (10K-30K),A_high_roi (5+),23044,116765,5.067,83.35,13011,2.378,declining,9.12
gradle,3_medium (10K-30K),A_high_roi (5+),10694,53826,5.033,63.68,2781,1.535,declining,9.06
ubuntu,3_medium (10K-30K),B_medium_roi (3-5),17538,83652,4.77,57.88,3877,2.051,declining,8.59
unit-testing,3_medium (10K-30K),B_medium_roi (3-5),24432,113276,4.636,68.94,2809,1.525,declining,8.35
twitter-bootstrap,3_medium (10K-30K),B_medium_roi (3-5),19180,87547,4.564,57.05,1485,1.604,declining,8.22
file,3_medium (10K-30K),B_medium_roi (3-5),13220,59798,4.523,60.24,1451,1.47,declining,8.14
debugging,3_medium (10K-30K),B_medium_roi (3-5),12480,55732,4.466,67.09,1489,1.496,declining,8.04
clojure,3_medium (10K-30K),B_medium_roi (3-5),18498,81498,4.406,82.16,1630,1.748,declining,7.93
f#,3_medium (10K-30K),B_medium_roi (3-5),13934,60723,4.358,88.43,1585,2.097,declining,7.84
security,3_medium (10K-30K),B_medium_roi (3-5),22471,95964,4.271,66.09,2101,1.388,declining,7.69
kotlin,3_medium (10K-30K),B_medium_roi (3-5),19790,83578,4.223,69.83,11305,1.823,declining,7.6
ssl,3_medium (10K-30K),B_medium_roi (3-5),12595,53188,4.223,59.6,2737,1.426,declining,7.6
math,3_medium (10K-30K),B_medium_roi (3-5),14369,59878,4.167,69.39,1474,0.887,declining,7.5
sqlite,3_medium (10K-30K),B_medium_roi (3-5),13683,55331,4.044,60.22,2272,0.886,declining,7.28
cocoa,3_medium (10K-30K),B_medium_roi (3-5),14323,57354,4.004,69.48,305,1.111,declining,6.01
rest,3_medium (10K-30K),B_medium_roi (3-5),24454,96907,3.963,58.26,3737,1.022,declining,7.13
visual-studio-2010,3_medium (10K-30K),B_medium_roi (3-5),20725,79744,3.848,62.1,399,1.19,declining,5.77
entity-framework,3_medium (10K-30K),B_medium_roi (3-5),21013,80662,3.839,61.05,1761,1.177,declining,6.91
nginx,3_medium (10K-30K),B_medium_roi (3-5),16578,61478,3.708,55.15,4921,0.961,declining,6.68
function,3_medium (10K-30K),B_medium_roi (3-5),13412,49530,3.693,67.47,2498,1.41,declining,6.65
