Waiting on bqjob_r479913b59d576ec_0000019c15bd43ea_1 ... (0s) Current status: RUNNING                                                                                     Waiting on bqjob_r479913b59d576ec_0000019c15bd43ea_1 ... (0s) Current status: DONE   
tag,total_answers,questions_answered,competition_ratio,total_score,avg_score,median_score,p75_score,p90_score,pct_positive,pct_score_5plus,accepted_answers,acceptance_rate_pct,avg_rep_per_answer,recent_opportunity_score
github-actions,842,637,1.32,2783,3.305,1,3,7,64.73,14.73,322,38.24,38.79,60.51
dart,6902,3945,1.75,22806,3.304,1,3,7,62.61,15.34,1541,22.33,36.39,56.77
haskell,7546,5586,1.35,21953,2.909,2,4,6,84.35,20.65,3490,46.25,36.03,56.21
julia,2825,2140,1.32,7696,2.724,2,4,6,83.33,16.88,1376,48.71,34.55,53.9
markdown,687,485,1.42,2091,3.044,1,2,7,61.43,13.39,182,26.49,34.41,53.68
zsh,601,444,1.35,1670,2.779,1,2,5,61.9,10.82,222,36.94,33.33,51.99
android-jetpack-compose,602,429,1.4,1617,2.686,1,2,6,61.13,13.29,255,42.36,33.21,51.81
rust,13011,10249,1.27,30937,2.378,2,3,5,77.01,13.85,6763,51.98,31.57,49.26
generics,874,655,1.33,2140,2.449,1,3,5,72.54,10.07,404,46.22,31.42,49.01
visual-studio-code,11674,7548,1.55,31489,2.697,1,2,6,54.74,13.03,2784,23.85,30.55,47.66
github,6573,4802,1.37,16957,2.58,1,2,5,55.32,10.89,2006,30.52,30.38,47.39
macos,9082,6384,1.42,24325,2.678,1,2,5,52.14,10.66,2048,22.55,30.17,47.06
types,501,382,1.31,1164,2.323,2,3,5,73.25,13.77,231,46.11,30.15,47.03
jestjs,909,663,1.37,2362,2.598,1,2,6,51.93,13.75,248,27.28,30.08,46.92
windows-10,503,359,1.4,1329,2.642,0,1,4,48.51,8.15,116,23.06,29.88,46.61
svelte,1258,916,1.37,2897,2.303,1,3,5,69.95,12.24,546,43.4,29.54,46.08
xcode,5096,3364,1.51,13425,2.634,0,2,5,49.35,12.17,1069,20.98,29.49,46.01
intellij-idea,2988,2066,1.45,7540,2.523,1,2,5,54.28,10.71,732,24.5,28.91,45.1
f#,1585,1186,1.34,3324,2.097,2,3,5,80.0,10.47,773,48.77,28.29,44.13
webpack,2124,1640,1.3,5182,2.44,0,2,4,49.15,9.6,549,25.85,28.27,44.11
assembly,4648,3943,1.18,9947,2.14,2,3,4,79.3,9.49,2052,44.15,28.02,43.72
cuda,831,708,1.17,1724,2.075,1,3,4,80.51,8.78,382,45.97,27.64,43.12
android-studio,5896,3770,1.56,14343,2.433,0,1,5,45.62,10.13,1299,22.03,27.63,43.11
git,38904,25803,1.51,92605,2.38,1,2,4,58.64,9.37,9677,24.87,27.53,42.95
