tag,total_answers,avg_score,median_score,pct_positive,accepted_answers,acceptance_rate_pct,avg_rep_per_answer,category
sharepoint,1396,0.376,0,26.22,362,25.93,7.65,bottom_performer
jmeter,3443,0.369,0,29.71,956,27.77,7.85,bottom_performer
salesforce,1160,0.409,0,31.12,315,27.16,8.17,bottom_performer
arduino,1704,0.469,0,33.22,439,25.76,8.55,bottom_performer
hadoop,1863,0.548,0,34.62,396,21.26,8.67,bottom_performer
reporting-services,1349,0.353,0,29.21,462,34.25,8.67,bottom_performer
ms-access,1487,0.422,0,33.42,456,30.67,8.82,bottom_performer
wordpress,12342,0.531,0,31.88,3026,24.52,8.99,bottom_performer
angularjs,3089,0.621,0,32.63,657,21.27,9.4,bottom_performer
selenium,4806,0.592,0,34.08,1144,23.8,9.49,bottom_performer
vba,9667,0.486,0,35.66,3000,31.03,9.51,bottom_performer
autodesk-forge,1534,0.394,0,32.2,612,39.9,9.92,bottom_performer
iis,1219,0.602,0,29.86,321,26.33,9.97,bottom_performer
facebook,1268,0.71,0,37.22,243,19.16,9.97,bottom_performer
microsoft-graph-api,2016,0.542,0,36.21,619,30.7,10.03,bottom_performer
vb.net,7580,0.508,0,36.57,2630,34.7,10.29,bottom_performer
docusignapi,1340,0.5,0,35.22,481,35.9,10.38,bottom_performer
jquery,19521,0.596,0,38.62,5926,30.36,10.51,bottom_performer
hyperledger-fabric,1224,0.592,0,40.03,379,30.96,10.56,bottom_performer
pine-script,3588,0.494,0,33.11,1358,37.85,10.62,bottom_performer
ajax,1772,0.604,0,36.0,562,31.72,10.8,bottom_performer
asp.net-mvc,4196,0.678,0,34.39,1133,27.0,10.83,bottom_performer
shopify,1021,0.67,0,38.79,298,29.19,11.08,bottom_performer
unity3d,6833,0.647,0,38.36,2124,31.08,11.13,bottom_performer
iphone,2055,1.073,0,37.42,57,2.77,11.15,bottom_performer
batch-file,3788,0.65,0,40.97,1194,31.52,11.23,bottom_performer
hibernate,1993,0.722,0,37.88,544,27.3,11.31,bottom_performer
azure-data-factory,1331,0.587,0,39.89,486,36.51,11.34,bottom_performer
discord.py,1244,0.506,0,35.29,530,42.6,11.45,bottom_performer
wso2,1280,0.615,0,42.19,452,35.31,11.45,bottom_performer
asp.net,9193,0.751,0,36.07,2420,26.32,11.46,bottom_performer
discord.js,1615,0.511,0,35.67,687,42.54,11.49,bottom_performer
powerbi,5787,0.564,0,42.87,2259,39.04,11.5,bottom_performer
twilio,1264,0.651,0,45.57,438,34.65,11.71,bottom_performer
flask,1546,0.695,0,38.81,507,32.79,11.87,bottom_performer
html,121360,0.748,0,42.47,37190,30.64,12.08,bottom_performer
botframework,1071,0.685,0,43.32,374,34.92,12.09,bottom_performer
eclipse,3142,0.96,0,35.93,528,16.8,12.12,bottom_performer
excel,49458,0.662,0,44.17,18210,36.82,12.14,bottom_performer
discord,1879,0.643,0,39.86,718,38.21,12.16,bottom_performer
oracle,11962,0.758,0,47.65,3758,31.42,12.29,bottom_performer
azure-active-directory,1871,0.685,0,40.78,688,36.77,12.36,bottom_performer
google-analytics,1515,0.785,0,40.13,461,30.43,12.41,bottom_performer
php,163636,0.801,0,41.59,50168,30.66,12.61,bottom_performer
ionic-framework,1706,0.94,0,38.86,367,21.51,12.62,bottom_performer
api,6050,0.827,0,41.72,1774,29.32,12.67,bottom_performer
sql-server,20913,0.786,0,45.01,6744,32.25,12.7,bottom_performer
networking,1641,0.881,0,40.89,446,27.18,12.89,bottom_performer
apache,4197,0.834,0,43.53,1274,30.36,12.89,bottom_performer
python-2.7,1627,1.063,0,37.37,247,15.18,12.9,bottom_performer
