tenure_bucket,activity_bucket,voting_cohort,user_count,avg_reputation,median_reputation,p25_reputation,p75_reputation,p90_reputation,avg_answers,avg_upvotes_given
15+ years,100+ answers,non_voter,7,9932.43,4115,2193,7767,47373,147.71,0.0
15+ years,100+ answers,voter,8520,35751.72,16419,8675,34880,72185,476.28,1561.1
15+ years,25-99 answers,non_voter,47,2443.68,1447,681,2894,5617,42.32,0.0
15+ years,25-99 answers,voter,11328,6935.14,4146,2314,7752,14238,52.27,587.2
15+ years,5-24 answers,non_voter,765,643.15,204,96,504,1154,8.15,0.0
15+ years,5-24 answers,voter,8944,3086.27,1415,736,2975,6264,13.71,361.49
15+ years,1-4 answers,non_voter,12474,153.91,26,11,81,239,1.4,0.0
15+ years,1-4 answers,voter,1570,1848.57,509,190,1285,3406,2.72,271.69
15+ years,0 answers,non_voter,14822,130.48,21,1,53,181,0.0,0.0
15+ years,0 answers,voter,162,2826.17,313,115,1348,4152,0.0,265.21
12-14 years,100+ answers,non_voter,13,5720.15,3964,2240,7378,11869,213.85,0.0
12-14 years,100+ answers,voter,17863,18561.89,9195,5223,18034,37541,382.45,1233.64
12-14 years,25-99 answers,non_voter,203,996.1,695,440,1162,2038,38.22,0.0
12-14 years,25-99 answers,voter,34638,3696.07,2472,1475,4317,7377,50.34,587.07
12-14 years,5-24 answers,non_voter,6326,241.73,99,42,231,498,7.53,0.0
12-14 years,5-24 answers,voter,40857,1582.98,875,487,1680,3263,12.89,369.4
12-14 years,1-4 answers,non_voter,216051,66.35,21,11,44,113,1.27,0.0
12-14 years,1-4 answers,voter,10600,843.8,333,131,733,1679,2.64,277.08
12-14 years,0 answers,non_voter,578188,26.42,1,1,13,41,0.0,0.0
12-14 years,0 answers,voter,1274,851.91,182,95,608,1851,0.0,252.64
9-11 years,100+ answers,non_voter,31,3679.0,2959,2056,3691,7248,211.32,0.0
9-11 years,100+ answers,voter,9778,11773.64,5947,3577,11406,22745,354.32,1022.98
9-11 years,25-99 answers,non_voter,362,667.28,488,287,845,1331,38.86,0.0
9-11 years,25-99 answers,voter,23542,2286.64,1638,1021,2741,4426,49.28,555.69
9-11 years,5-24 answers,non_voter,13818,124.19,57,21,126,292,7.43,0.0
9-11 years,5-24 answers,voter,35075,929.82,589,342,1061,1920,12.43,366.57
9-11 years,1-4 answers,non_voter,404727,34.43,11,1,31,69,1.34,0.0
9-11 years,1-4 answers,voter,12075,447.79,187,94,463,938,2.55,271.57
9-11 years,0 answers,non_voter,2516786,6.15,1,1,1,13,0.0,0.0
9-11 years,0 answers,voter,1832,327.36,119,71,323,701,0.0,252.87
6-8 years,100+ answers,non_voter,19,6259.74,1722,1293,3695,26859,395.58,0.0
6-8 years,100+ answers,voter,3421,9408.75,4595,2830,8978,19038,362.03,910.76
6-8 years,25-99 answers,non_voter,291,555.87,414,254,626,1054,39.53,0.0
6-8 years,25-99 answers,voter,9274,1565.34,1210,771,1909,2880,48.01,512.51
6-8 years,5-24 answers,non_voter,12231,82.98,42,15,96,177,7.33,0.0
6-8 years,5-24 answers,voter,16644,603.66,424,192,715,1201,12.08,345.88
6-8 years,1-4 answers,non_voter,387840,23.7,11,1,21,51,1.32,0.0
6-8 years,1-4 answers,voter,7205,284.96,138,71,338,610,2.45,265.62
6-8 years,0 answers,non_voter,4041629,3.48,1,1,1,3,0.0,0.0
6-8 years,0 answers,voter,1423,215.94,101,53,171,447,0.0,246.33
3-5 years,100+ answers,non_voter,42,2447.38,1646,938,3579,4212,222.21,0.0
3-5 years,100+ answers,voter,999,6499.25,3607,2335,6263,13718,316.29,677.3
3-5 years,25-99 answers,non_voter,208,448.29,360,187,541,985,40.94,0.0
3-5 years,25-99 answers,voter,2314,1024.82,846,561,1275,1856,48.26,418.94
3-5 years,5-24 answers,non_voter,8222,61.78,36,11,76,139,7.45,0.0
3-5 years,5-24 answers,voter,4616,384.92,310,135,484,740,11.74,302.98
3-5 years,1-4 answers,non_voter,322087,15.13,3,1,15,33,1.27,0.0
3-5 years,1-4 answers,voter,2547,175.39,89,47,171,399,2.35,237.15
3-5 years,0 answers,non_voter,6099947,1.96,1,1,1,1,0.0,0.0
3-5 years,0 answers,voter,655,144.73,81,35,135,322,0.0,249.78
0-2 years,100+ answers,non_voter,8,1695.13,1330,1070,1967,3075,153.63,0.0
0-2 years,100+ answers,voter,27,4023.48,2791,1643,5291,7978,235.11,492.85
0-2 years,25-99 answers,non_voter,43,274.86,260,131,418,512,38.63,0.0
0-2 years,25-99 answers,voter,47,766.55,652,467,904,1408,50.34,306.57
0-2 years,5-24 answers,non_voter,1087,46.2,31,11,61,106,7.59,0.0
0-2 years,5-24 answers,voter,72,285.42,177,94,402,627,12.26,252.01
0-2 years,1-4 answers,non_voter,62507,7.32,1,1,11,21,1.19,0.0
0-2 years,1-4 answers,voter,35,90.57,55,31,101,173,2.03,180.74
0-2 years,0 answers,non_voter,2159425,1.37,1,1,1,1,0.0,0.0
0-2 years,0 answers,voter,16,86.81,35,25,105,221,0.0,198.38
