tenure_bucket,activity_bucket,non_voter_count,voter_count,non_voter_median_rep,voter_median_rep,median_premium_absolute,median_premium_pct,non_voter_avg_rep,voter_avg_rep,avg_premium_pct
15+ years,active (5+ answers),819,28792,225,4587,4362,1938.7,826.0,14267.0,1627.5
15+ years,minimal (1-4 answers),12474,1570,26,509,483,1857.7,154.0,1849.0,1101.1
15+ years,passive (0 answers),14822,162,21,313,292,1390.5,130.0,2826.0,2066.0
12-14 years,active (5+ answers),6542,93358,106,2012,1906,1798.1,276.0,5616.0,1934.5
12-14 years,minimal (1-4 answers),216051,10600,21,333,312,1485.7,66.0,844.0,1171.8
12-14 years,passive (0 answers),578188,1274,1,182,181,18100.0,26.0,852.0,3124.2
9-11 years,active (5+ answers),14211,68395,61,1138,1077,1765.6,146.0,2947.0,1921.6
9-11 years,minimal (1-4 answers),404727,12075,11,187,176,1600.0,34.0,448.0,1200.7
9-11 years,passive (0 answers),2516786,1832,1,119,118,11800.0,6.0,327.0,5226.5
6-8 years,active (5+ answers),12541,29339,45,727,682,1515.6,103.0,1934.0,1772.3
6-8 years,minimal (1-4 answers),387840,7205,11,138,127,1154.5,24.0,285.0,1102.4
6-8 years,passive (0 answers),4041629,1423,1,101,100,10000.0,3.0,216.0,6108.1
3-5 years,active (5+ answers),8472,7929,36,500,464,1288.9,83.0,1342.0,1515.0
3-5 years,minimal (1-4 answers),322087,2547,3,89,86,2866.7,15.0,175.0,1059.4
3-5 years,passive (0 answers),6099947,655,1,81,80,8000.0,2.0,145.0,7272.1
0-2 years,active (5+ answers),1138,146,32,519,487,1521.9,66.0,1132.0,1603.3
0-2 years,minimal (1-4 answers),62507,35,1,55,54,5400.0,7.0,91.0,1138.1
0-2 years,passive (0 answers),2159425,16,1,35,34,3400.0,1.0,87.0,6219.9
