tenure_bucket,activity_bucket,voting_cohort,user_count,avg_rep_per_answer,median_rep_per_answer,avg_answer_score,median_answer_score,avg_reputation,avg_answer_count
veteran (12+ years),100+ answers,non_voter,20,46.91,16.71641791044776,4.07,1.2014925373134326,7194.0,190.7
veteran (12+ years),100+ answers,voter,26383,65.87,47.601851851851855,4.51,3.177570093457944,24113.0,412.7
veteran (12+ years),25-99 answers,non_voter,250,31.21,21.0,2.27,1.3488372093023255,1268.0,39.0
veteran (12+ years),25-99 answers,voter,45966,92.94,57.390243902439025,4.66,2.7777777777777772,4494.0,50.8
veteran (12+ years),5-24 answers,non_voter,7091,38.85,15.166666666666666,2.06,0.8,285.0,7.6
veteran (12+ years),5-24 answers,voter,49801,155.64,77.58823529411765,5.11,2.375,1853.0,13.0
veteran (12+ years),1-4 answers,non_voter,228525,58.84,15.0,3.95,1.0,71.0,1.3
veteran (12+ years),1-4 answers,voter,12170,455.99,139.0,6.6,1.5000000000000002,973.0,2.6
established (6-11 years),100+ answers,non_voter,50,16.54,15.679245283018869,1.03,0.8848263254113347,4660.0,281.3
established (6-11 years),100+ answers,voter,13199,33.39,26.6985698569857,2.2,1.6422018348623855,11161.0,356.3
established (6-11 years),25-99 answers,non_voter,653,16.02,11.94915254237288,0.98,0.6265060240963857,618.0,39.2
established (6-11 years),25-99 answers,voter,32816,44.54,31.857142857142858,2.47,1.5588235294117645,2083.0,48.9
established (6-11 years),5-24 answers,non_voter,26049,13.92,7.285714285714286,0.78,0.33333333333333337,105.0,7.4
established (6-11 years),5-24 answers,voter,51719,72.66,45.2,2.92,1.4285714285714286,825.0,12.3
established (6-11 years),1-4 answers,non_voter,792567,23.65,10.5,1.31,0.0,29.0,1.3
established (6-11 years),1-4 answers,voter,19280,185.37,81.0,3.89,1.0,387.0,2.5
newer (0-5 years),100+ answers,non_voter,50,10.53,9.287128712871286,0.52,0.4122448979591837,2327.0,211.2
newer (0-5 years),100+ answers,voter,1026,19.95,17.628070175438598,1.12,0.9473684210526315,6434.0,314.2
newer (0-5 years),25-99 answers,non_voter,251,10.14,8.891304347826088,0.52,0.3846153846153846,419.0,40.5
newer (0-5 years),25-99 answers,voter,2361,21.84,18.431818181818183,1.04,0.8214285714285714,1020.0,48.3
newer (0-5 years),5-24 answers,non_voter,9309,7.66,5.125,0.38,0.2,60.0,7.5
newer (0-5 years),5-24 answers,voter,4688,35.5,23.666666666666668,1.3,0.7777777777777778,383.0,11.7
newer (0-5 years),1-4 answers,non_voter,384594,11.67,1.0,0.59,0.0,14.0,1.3
newer (0-5 years),1-4 answers,voter,2582,89.74,41.0,1.95,0.6666666666666666,174.0,2.3
