tenure_bucket,activity_bucket,quality_bucket,voting_cohort,user_count,avg_reputation,median_reputation,actual_avg_score,avg_answers
newer (0-9 years),active (10+ answers),high quality (avg 5+),non_voter,53,1722.0,1411,10.99,15.7
newer (0-9 years),active (10+ answers),high quality (avg 5+),voter,2822,4989.0,2502,9.32,48.4
newer (0-9 years),active (10+ answers),good quality (avg 2-5),non_voter,229,688.0,525,2.95,18.1
newer (0-9 years),active (10+ answers),good quality (avg 2-5),voter,9215,3836.0,1486,3.0,91.5
newer (0-9 years),active (10+ answers),medium quality (avg 1-2),non_voter,608,515.0,306,1.33,23.6
newer (0-9 years),active (10+ answers),medium quality (avg 1-2),voter,13985,2664.0,1098,1.41,104.9
newer (0-9 years),active (10+ answers),low quality (avg 0-1),non_voter,3867,193.0,107,0.39,21.0
newer (0-9 years),active (10+ answers),low quality (avg 0-1),voter,15978,1153.0,580,0.62,64.3
newer (0-9 years),active (10+ answers),negative (avg < 0),non_voter,492,39.0,24,-0.19,13.8
newer (0-9 years),active (10+ answers),negative (avg < 0),voter,137,313.0,167,-0.12,17.2
newer (0-9 years),casual (1-9 answers),high quality (avg 5+),non_voter,35108,188.0,101,14.41,1.2
newer (0-9 years),casual (1-9 answers),high quality (avg 5+),voter,2985,819.0,583,14.44,4.3
newer (0-9 years),casual (1-9 answers),good quality (avg 2-5),non_voter,81474,44.0,31,2.6,1.2
newer (0-9 years),casual (1-9 answers),good quality (avg 2-5),voter,5054,375.0,312,2.91,4.6
newer (0-9 years),casual (1-9 answers),medium quality (avg 1-2),non_voter,152919,23.0,11,1.03,1.3
newer (0-9 years),casual (1-9 answers),medium quality (avg 1-2),voter,6123,297.0,160,1.28,4.7
newer (0-9 years),casual (1-9 answers),low quality (avg 0-1),non_voter,579021,10.0,1,0.05,1.4
newer (0-9 years),casual (1-9 answers),low quality (avg 0-1),voter,11129,275.0,129,0.34,4.6
newer (0-9 years),casual (1-9 answers),negative (avg < 0),non_voter,81253,7.0,1,-1.27,1.6
newer (0-9 years),casual (1-9 answers),negative (avg < 0),voter,548,260.0,101,-0.61,4.1
veteran (10+ years),active (10+ answers),high quality (avg 5+),non_voter,205,2594.0,1479,12.65,19.7
veteran (10+ years),active (10+ answers),high quality (avg 5+),voter,33263,14942.0,5400,11.31,128.7
veteran (10+ years),active (10+ answers),good quality (avg 2-5),non_voter,515,889.0,591,3.01,21.0
veteran (10+ years),active (10+ answers),good quality (avg 2-5),voter,54277,7307.0,2843,3.17,145.1
veteran (10+ years),active (10+ answers),medium quality (avg 1-2),non_voter,757,475.0,321,1.39,21.0
veteran (10+ years),active (10+ answers),medium quality (avg 1-2),voter,38384,3500.0,1613,1.47,109.4
veteran (10+ years),active (10+ answers),low quality (avg 0-1),non_voter,1930,209.0,128,0.45,18.6
veteran (10+ years),active (10+ answers),low quality (avg 0-1),voter,20753,1733.0,860,0.66,58.1
veteran (10+ years),active (10+ answers),negative (avg < 0),non_voter,200,50.0,32,-0.22,13.6
veteran (10+ years),active (10+ answers),negative (avg < 0),voter,167,1485.0,518,-0.17,17.2
veteran (10+ years),casual (1-9 answers),high quality (avg 5+),non_voter,49840,295.0,121,22.31,1.3
veteran (10+ years),casual (1-9 answers),high quality (avg 5+),voter,10124,1538.0,876,19.0,5.1
veteran (10+ years),casual (1-9 answers),good quality (avg 2-5),non_voter,78277,57.0,31,2.67,1.3
veteran (10+ years),casual (1-9 answers),good quality (avg 2-5),voter,12064,851.0,423,3.02,5.2
veteran (10+ years),casual (1-9 answers),medium quality (avg 1-2),non_voter,105195,33.0,11,1.04,1.3
veteran (10+ years),casual (1-9 answers),medium quality (avg 1-2),voter,10874,764.0,321,1.32,5.1
veteran (10+ years),casual (1-9 answers),low quality (avg 0-1),non_voter,243618,22.0,1,0.06,1.5
veteran (10+ years),casual (1-9 answers),low quality (avg 0-1),voter,13492,764.0,279,0.39,4.7
veteran (10+ years),casual (1-9 answers),negative (avg < 0),non_voter,33848,15.0,1,-1.53,1.6
veteran (10+ years),casual (1-9 answers),negative (avg < 0),voter,617,1237.0,303,-0.66,4.2
