year_offset,users_with_data,avg_score_earned,median_score_earned,p25_score,p75_score,avg_posts,pct_from_answers
0,66257,245.56,39.0,6.0,172.0,48.52,69.95
1,70714,332.33,82.0,21.0,254.0,70.73,73.73
2,71170,223.87,56.0,15.0,172.0,56.36,77.87
3,69276,158.8,36.0,10.0,116.0,44.92,79.76
4,65157,114.16,24.0,6.0,80.0,36.21,80.86
5,60054,83.11,16.0,4.0,58.0,29.54,80.9
6,53820,63.72,12.0,3.0,42.0,25.18,80.69
7,46943,51.82,9.0,2.0,32.0,22.1,81.56
8,40065,39.94,6.0,1.0,24.0,19.39,82.0
9,32842,31.99,5.0,1.0,18.0,17.38,83.4
10,24884,24.99,4.0,1.0,13.0,15.36,83.76
11,16941,20.42,3.0,1.0,10.0,14.25,85.19
12,10000,18.58,2.0,0.0,8.0,14.47,87.79
13,4926,16.59,2.0,0.0,6.0,14.42,90.73
14,1414,15.04,1.0,0.0,6.0,15.11,94.0
