Waiting on bqjob_r61cc5a96c3669c67_0000019c15bd4b19_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r61cc5a96c3669c67_0000019c15bd4b19_1 ... (0s) Current status: DONE   
domain,tag_name,total_tag_questions,recent_questions,unanswered,unanswered_pct,has_accepted,acceptance_rate,avg_answer_score,opportunity_score
DevOps,docker,120499,44146,15866,35.9,13298,30.1,1.3,20550.0
Cloud Platform,amazon-web-services,141687,44571,14338,32.2,14375,32.3,1.04,14926.0
Cloud Platform,azure,123370,64899,12958,20.0,24298,37.4,0.74,9589.0
DevOps,kubernetes,50993,23945,6598,27.6,8082,33.8,1.25,8251.0
ML/AI,tensorflow,79018,25028,9270,37.0,7372,29.5,0.84,7767.0
DevOps,docker-compose,26741,10501,3582,34.1,3289,31.3,1.36,4865.0
ML/AI,keras,40581,13921,5029,36.1,4495,32.3,0.88,4405.0
ML/AI,pytorch,18764,11255,3954,35.1,3793,33.7,1.07,4225.0
Cloud Platform,google-cloud-platform,40918,16649,3982,23.9,6091,36.6,1.06,4214.0
Cloud Platform,amazon-s3,46927,11817,4058,34.3,3506,29.7,0.91,3704.0
ML/AI,machine-learning,51543,12775,4312,33.8,4143,32.4,0.81,3506.0
Cloud Platform,google-cloud-firestore,37265,17281,3708,21.5,7746,44.8,0.91,3388.0
Cloud Platform,aws-lambda,27459,10492,3329,31.7,3328,31.7,0.98,3254.0
DevOps,devops,6995,14084,3329,23.6,5347,38.0,0.94,3125.0
ML/AI,deep-learning,25260,8415,3282,39.0,2465,29.3,0.82,2687.0
DevOps,jenkins,48665,9766,4034,41.3,2336,23.9,0.63,2534.0
DevOps,terraform,14603,9298,1934,20.8,4073,43.8,1.31,2533.0
DevOps,gitlab,15583,7595,2186,28.8,2416,31.8,1.06,2321.0
ML/AI,scikit-learn,26668,6835,2040,29.8,2617,38.3,1.08,2203.0
Cloud Platform,amazon-ec2,34913,6595,2324,35.2,1920,29.1,0.94,2187.0
DevOps,dockerfile,13340,4675,1469,31.4,1614,34.5,1.48,2172.0
Cloud Platform,azure-devops,27229,11267,2284,20.3,4638,41.2,0.94,2138.0
ML/AI,neural-network,19229,7364,2839,38.6,2222,30.2,0.75,2118.0
ML/AI,nlp,18733,5627,1967,35.0,1759,31.3,0.91,1782.0
ML/AI,computer-vision,14790,3484,1485,42.6,898,25.8,0.97,1443.0
DevOps,ansible,21175,6711,1568,23.4,2795,41.6,0.91,1427.0
Cloud Platform,google-cloud-functions,15902,5560,1239,22.3,2366,42.6,1.15,1427.0
DevOps,gitlab-ci,6961,3736,1043,27.9,1269,34.0,1.25,1304.0
Cloud Platform,azure-pipelines,9779,5429,1135,20.9,2298,42.3,0.95,1079.0
Cloud Platform,amazon-dynamodb,12689,3649,976,26.7,1285,35.2,1.03,1002.0
DevOps,kubernetes-helm,5132,2622,710,27.1,921,35.1,1.36,968.0
ML/AI,conv-neural-network,9645,3427,1325,38.7,1012,29.5,0.7,932.0
Cloud Platform,aws-amplify,3726,2253,962,42.7,505,22.4,0.95,913.0
ML/AI,tensorflow2.0,5285,2751,978,35.6,864,31.4,0.89,871.0
Cloud Platform,amazon-cognito,6544,2191,957,43.7,506,23.1,0.87,833.0
Cloud Platform,amazon-rds,6001,2163,852,39.4,605,28.0,0.96,821.0
DevOps,jenkins-pipeline,11812,3484,1297,37.2,953,27.4,0.62,806.0
Cloud Platform,aws-api-gateway,6790,2265,834,36.8,680,30.0,0.97,806.0
Cloud Platform,amazon-eks,2944,1953,638,32.7,569,29.1,1.15,733.0
Cloud Platform,azure-functions,13171,5581,922,16.5,2103,37.7,0.79,729.0
Cloud Platform,amazon-ecs,4279,1824,572,31.4,606,33.2,1.22,697.0
Cloud Platform,amazon-elastic-beanstalk,8857,2019,799,39.6,565,28.0,0.87,694.0
DevOps,kubernetes-ingress,3386,1731,495,28.6,571,33.0,1.37,677.0
Cloud Platform,terraform-provider-aws,3025,1908,396,20.8,907,47.5,1.55,612.0
Cloud Platform,aws-sdk,5865,1566,546,34.9,490,31.3,1.06,579.0
Cloud Platform,amazon-cloudwatch,3689,1620,613,37.8,453,28.0,0.92,563.0
Cloud Platform,aws-glue,3393,1841,781,42.4,472,25.6,0.71,556.0
DevOps,google-kubernetes-engine,6163,2117,488,23.1,758,35.8,1.14,555.0
Cloud Platform,google-cloud-storage,10070,2486,552,22.2,933,37.5,0.99,545.0
Cloud Platform,amazon-cloudformation,7494,2500,484,19.4,1134,45.4,1.06,515.0
