badge_name,badge_class,tag_based,times_awarded,unique_recipients,avg_awards_per_user
Popular Question,Bronze,false,6716061,1917075,3.5
Notable Question,Silver,false,3327891,1156247,2.88
Editor,Bronze,false,3183627,3183627,1.0
Informed,Bronze,false,3021455,3021453,1.0
Yearling,Silver,false,3013818,741504,4.06
Student,Bronze,false,2982330,2982330,1.0
Scholar,Bronze,false,2400947,2400947,1.0
Autobiographer,Bronze,false,2392912,2392738,1.0
Teacher,Bronze,false,1909844,1909844,1.0
Supporter,Bronze,false,1863335,1863207,1.0
Nice Answer,Bronze,false,1599942,411669,3.89
Tumbleweed,Bronze,false,1150330,1150330,1.0
Custodian,Bronze,false,1141802,792765,1.44
Commentator,Bronze,false,1131680,1131649,1.0
Famous Question,Gold,false,960400,448095,2.14
Necromancer,Silver,false,862697,416490,2.07
Caucus,Bronze,false,830404,345222,2.41
Nice Question,Bronze,false,775220,339747,2.28
Good Answer,Silver,false,571957,204780,2.79
Revival,Bronze,false,548063,352340,1.56
Critic,Bronze,false,510315,510315,1.0
Enlightened,Silver,false,498072,124424,4.0
Curious,Bronze,false,396260,396252,1.0
Peer Pressure,Bronze,false,322570,322570,1.0
Enthusiast,Silver,false,305991,305986,1.0
Constituent,Silver,false,275648,137010,2.01
Good Question,Silver,false,270359,146591,1.84
Announcer,Bronze,false,269215,97529,2.76
Census,Silver,false,255605,188684,1.35
Citizen Patrol,Bronze,false,249803,249770,1.0
Self-Learner,Bronze,false,196416,196416,1.0
Guru,Silver,false,174489,66005,2.64
Excavator,Bronze,false,172796,172796,1.0
Organizer,Bronze,false,145969,145969,1.0
Civic Duty,Silver,false,123703,123702,1.0
Great Answer,Gold,false,109261,56296,1.94
Promoter,Bronze,false,98198,98198,1.0
Explainer,Bronze,false,75646,75646,1.0
Favorite Question,Silver,false,66618,44566,1.49
Tenacious,Silver,false,66371,66364,1.0
Cleanup,Bronze,false,64254,64254,1.0
Suffrage,Bronze,false,59948,59947,1.0
Benefactor,Bronze,false,52814,52789,1.0
Great Question,Gold,false,51997,36230,1.44
Reviewer,Silver,false,45083,22259,2.03
Analytical,Bronze,false,43537,43537,1.0
Documentation User,Silver,false,42945,42945,1.0
Mortarboard,Bronze,false,42630,42630,1.0
Fanatic,Gold,false,42012,42012,1.0
Vox Populi,Bronze,false,40380,40379,1.0
