award_year,badge_class,badges_awarded,unique_users,badges_per_user
2008,Bronze,94047,18182,5.17
2008,Gold,157,115,1.37
2008,Silver,6730,3605,1.87
2009,Bronze,297225,70328,4.23
2009,Gold,1913,1397,1.37
2009,Silver,42643,18195,2.34
2010,Bronze,558731,180952,3.09
2010,Gold,7324,5029,1.46
2010,Silver,90123,34739,2.59
2011,Bronze,1046915,348774,3.0
2011,Gold,18187,11870,1.53
2011,Silver,190282,74913,2.54
2012,Bronze,1902353,626990,3.03
2012,Gold,41237,25792,1.6
2012,Silver,404135,148145,2.73
2013,Bronze,2531473,853285,2.97
2013,Gold,86838,52120,1.67
2013,Silver,679122,254486,2.67
2014,Bronze,3037296,1169543,2.6
2014,Gold,107541,69009,1.56
2014,Silver,775862,311895,2.49
2015,Bronze,3287949,1338448,2.46
2015,Gold,126368,84086,1.5
2015,Silver,849783,356085,2.39
2016,Bronze,3326289,1511082,2.2
2016,Gold,141624,97510,1.45
2016,Silver,889097,404630,2.2
2017,Bronze,3395797,1587738,2.14
2017,Gold,145568,104596,1.39
2017,Silver,1000314,473184,2.11
2018,Bronze,3130467,1543732,2.03
2018,Gold,126193,95512,1.32
2018,Silver,936082,477375,1.96
2019,Bronze,3177367,1585725,2.0
2019,Gold,132488,101426,1.31
2019,Silver,1326283,656023,2.02
2020,Bronze,3228012,1730602,1.87
2020,Gold,136992,107759,1.27
2020,Silver,1096293,596509,1.84
2021,Bronze,3278110,2021302,1.62
2021,Gold,145493,112369,1.29
2021,Silver,1079940,614316,1.76
2022,Bronze,2413566,1666822,1.45
2022,Gold,98116,83009,1.18
2022,Silver,747061,491374,1.52
