creation_year,total_answers,unique_answerers,avg_score,median_score,p90_score,p99_score,total_score,pct_positive,pct_zero,pct_negative,avg_comment_count
2008,209513,15772,15.76,2.0,18.0,238.0,3301359,75.91,21.89,2.2,0.99
2009,931215,55874,8.62,2.0,11.0,117.0,8026093,72.67,25.56,1.76,1.15
2010,1456666,124882,6.43,1.0,9.0,85.0,9363325,70.94,27.49,1.57,1.25
2011,2264350,205717,5.22,1.0,8.0,71.0,11818230,68.99,29.51,1.5,1.3
2012,2823422,301120,4.35,1.0,7.0,55.0,12278133,67.16,31.28,1.56,1.32
2013,3314677,400111,3.66,1.0,6.0,47.0,12125961,62.54,35.73,1.73,1.32
2014,3196317,452305,2.96,1.0,5.0,38.0,9461807,58.67,39.34,1.99,1.29
2015,3143467,495576,2.74,1.0,5.0,34.0,8612823,58.78,39.03,2.19,1.27
2016,3072291,520261,2.59,1.0,4.0,33.0,7953249,57.53,40.08,2.4,1.26
2017,2903966,526505,2.37,1.0,4.0,31.0,6870128,56.02,41.47,2.51,1.23
2018,2552774,500419,2.16,1.0,4.0,26.0,5502244,56.4,41.05,2.55,1.18
2019,2396507,492691,1.78,1.0,4.0,20.0,4276591,54.67,42.86,2.47,1.1
2020,2443453,525399,1.41,1.0,3.0,14.0,3433422,53.44,44.23,2.33,1.04
2021,2004334,473090,1.08,0.0,3.0,9.0,2156240,49.93,47.6,2.47,0.98
2022,1311167,361068,0.69,0.0,2.0,5.0,903488,42.11,55.39,2.51,0.89
