score_percentile,user_count,total_answers,total_score_in_percentile,avg_answers_per_user,avg_score_per_user,avg_score_per_answer,avg_max_score,avg_first_year,pct_of_total_score,cumulative_pct_score
1,28879,13316407,63643294,461.11,2203.79,20.84,433.33,2011.3,62.65,62.65
2,28879,3121450,10945156,108.09,379.0,16.23,139.07,2012.1,10.77,73.42
3,28879,2010716,6210110,69.63,215.04,13.27,85.71,2012.6,6.11,79.53
4,28879,1491500,4175732,51.65,144.59,11.47,60.76,2013.0,4.11,83.64
5,28879,1183395,3048392,40.98,105.56,10.33,46.33,2013.2,3.0,86.64
6,28879,956693,2338179,33.13,80.96,9.18,37.14,2013.4,2.3,88.95
7,28879,813414,1861446,28.17,64.46,8.41,30.52,2013.6,1.83,90.78
8,28879,692758,1518649,23.99,52.59,7.63,25.78,2013.8,1.49,92.27
9,28879,606195,1261551,20.99,43.68,7.02,21.9,2014.0,1.24,93.51
10,28879,533061,1064705,18.46,36.87,6.58,18.94,2014.1,1.05,94.56
11,28879,480465,910055,16.64,31.51,6.01,16.46,2014.2,0.9,95.46
12,28879,435702,787442,15.09,27.27,5.59,14.58,2014.4,0.78,96.23
13,28879,394620,686108,13.66,23.76,5.18,12.9,2014.4,0.68,96.91
14,28879,359477,603550,12.45,20.9,4.91,11.63,2014.6,0.59,97.5
15,28879,327624,533765,11.34,18.48,4.61,10.51,2014.7,0.53,98.03
16,28878,302487,475392,10.47,16.46,4.32,9.51,2014.8,0.47,98.5
17,28878,280830,422512,9.72,14.63,4.06,8.63,2014.9,0.42,98.91
18,28878,259951,383804,9.0,13.29,3.88,8.0,2014.9,0.38,99.29
19,28878,241268,344331,8.35,11.92,3.63,7.3,2015.0,0.34,99.63
20,28878,226876,312032,7.86,10.81,3.46,6.75,2015.1,0.31,99.94
25,28878,165071,202146,5.72,7.0,2.76,4.78,2015.4,0.2,100.14
50,28878,54730,28878,1.9,1.0,0.77,1.02,2016.4,0.03,100.16
75,28878,40377,0,1.4,0.0,0.0,0.02,2017.7,0.0,100.16
90,28878,42295,0,1.46,0.0,0.0,0.03,2017.2,0.0,100.16
95,28878,38422,-2867,1.33,-0.1,-0.07,-0.02,2017.3,-0.0,100.16
99,28878,65354,-50571,2.26,-1.75,-1.25,-0.88,2017.0,-0.05,100.11
100,28878,80596,-112740,2.79,-3.9,-2.62,-1.87,2016.2,-0.11,100.0
