primary_tag,question_count,total_score,avg_score,avg_views,avg_answers,pct_accepted_answer,avg_favorites,high_score_questions,pct_high_score
javascript,2315300,4848134,2.09,2851.0,1.54,52.62,2.97,62173,2.69
python,1948724,4746775,2.44,3206.0,1.43,51.53,3.18,66945,3.44
java,1807486,4048365,2.24,3411.0,1.61,49.96,2.71,65001,3.6
c#,1503854,3589276,2.39,3086.0,1.63,56.15,2.45,59587,3.96
php,1294599,1648389,1.27,2370.0,1.61,52.6,2.11,25641,1.98
android,1050696,2670375,2.54,3008.0,1.45,44.11,2.97,46221,4.4
c++,723966,1955529,2.7,2604.0,1.7,57.73,3.16,36632,5.06
ios,545965,1292101,2.37,2080.0,1.43,47.84,2.83,21872,4.01
r,435491,782041,1.8,1908.0,1.29,56.75,2.38,11890,2.73
html,423082,959265,2.27,3921.0,1.72,54.16,3.22,12907,3.05
sql,413177,738519,1.79,3603.0,1.78,58.6,2.8,9872,2.39
jquery,361478,601207,1.66,3364.0,1.68,58.89,2.33,8832,2.44
mysql,331890,584127,1.76,2915.0,1.55,54.24,2.96,7931,2.39
c,315194,579956,1.84,2719.0,1.82,56.42,2.84,10604,3.36
ruby-on-rails,288729,647151,2.24,1803.0,1.47,57.78,2.49,11329,3.92
node.js,236661,573234,2.42,2715.0,1.16,41.25,3.06,8134,3.44
css,186762,576895,3.09,4773.0,1.66,54.84,3.72,8227,4.41
reactjs,186366,292113,1.57,1955.0,1.15,40.31,1.87,4401,2.36
angular,184450,386774,2.1,2922.0,1.28,43.38,2.15,6393,3.47
iphone,162169,410666,2.53,2822.0,1.92,65.23,3.08,8470,5.22
excel,155358,91226,0.59,2534.0,1.25,46.03,1.41,1162,0.75
asp.net,149959,283582,1.89,2926.0,1.58,53.24,2.38,4694,3.13
linux,126909,465692,3.67,5161.0,1.55,49.96,4.31,6498,5.12
sql-server,124298,257400,2.07,3904.0,1.54,51.52,2.79,3697,2.97
django,119963,249560,2.08,1859.0,1.23,50.0,2.62,4485,3.74
git,115981,1473106,12.7,9047.0,1.67,54.02,9.92,11429,9.85
angularjs,111902,226106,2.02,2672.0,1.29,47.82,2.82,3348,2.99
python-3.x,107876,81263,0.75,1036.0,1.04,42.75,1.29,962,0.89
swift,104910,210830,2.01,1521.0,1.25,50.23,2.26,3522,3.36
objective-c,103967,280133,2.69,2261.0,1.63,64.01,3.17,5058,4.87
.net,102763,363405,3.54,3089.0,1.74,59.47,3.13,6577,6.4
ruby,101220,349075,3.45,2562.0,1.73,63.02,3.05,5645,5.58
flutter,88995,133014,1.49,1571.0,1.23,40.16,1.95,2037,2.29
scala,85337,249944,2.93,1866.0,1.42,60.32,2.56,4751,5.57
regex,83850,184806,2.2,2946.0,1.82,68.05,3.22,2419,2.88
amazon-web-services,83124,168256,2.02,1859.0,1.16,39.7,2.15,2957,3.56
bash,82676,384244,4.65,4955.0,1.81,61.81,5.65,3802,4.6
vba,78467,57959,0.74,2847.0,1.36,51.52,1.32,756,0.96
json,78289,173339,2.21,2764.0,1.26,50.39,2.69,2215,2.83
