tag_name,question_count,has_excerpt,has_wiki,documentation_status,popularity_rank
javascript,2426650,1,1,Fully Documented,1
python,2026741,1,1,Fully Documented,2
java,1866104,1,1,Fully Documented,3
c#,1559412,1,1,Fully Documented,4
php,1445747,1,1,Fully Documented,5
android,1386459,1,1,Fully Documented,6
html,1146245,1,1,Fully Documented,7
jquery,1029561,1,1,Fully Documented,8
c++,776837,1,1,Fully Documented,9
css,771867,1,1,Fully Documented,10
ios,674982,1,1,Fully Documented,11
mysql,651413,1,1,Fully Documented,12
sql,643145,1,1,Fully Documented,13
r,464242,1,1,Fully Documented,14
node.js,442811,1,1,Fully Documented,15
reactjs,415837,1,1,Fully Documented,16
arrays,398827,1,1,Fully Documented,17
c,385511,1,1,Fully Documented,18
asp.net,370124,1,1,Fully Documented,19
json,346406,1,1,Fully Documented,20
ruby-on-rails,334202,1,1,Fully Documented,21
.net,323469,1,1,Fully Documented,22
python-3.x,323080,1,1,Fully Documented,23
sql-server,322908,1,1,Fully Documented,24
swift,318734,1,1,Fully Documented,25
django,297375,1,1,Fully Documented,26
objective-c,292498,1,1,Fully Documented,27
angular,284434,1,1,Fully Documented,28
excel,269415,1,1,Fully Documented,29
angularjs,262553,1,1,Fully Documented,30
pandas,259731,1,1,Fully Documented,31
regex,252843,1,1,Fully Documented,32
ruby,225734,1,1,Fully Documented,33
iphone,221512,1,1,Fully Documented,34
ajax,220582,1,1,Fully Documented,35
linux,219528,1,1,Fully Documented,36
xml,210126,1,1,Fully Documented,37
vba,203265,1,1,Fully Documented,38
spring,200190,1,1,Fully Documented,39
asp.net-mvc,198937,1,1,Fully Documented,40
laravel,197762,1,1,Fully Documented,41
typescript,195355,1,1,Fully Documented,42
database,189284,1,1,Fully Documented,43
wordpress,186307,1,1,Fully Documented,44
string,177860,1,1,Fully Documented,45
mongodb,166640,1,1,Fully Documented,46
wpf,166629,1,1,Fully Documented,47
postgresql,159996,1,1,Fully Documented,48
windows,159882,1,1,Fully Documented,49
xcode,156423,1,1,Fully Documented,50
bash,148367,1,1,Fully Documented,51
oracle,144883,1,1,Fully Documented,52
git,144157,1,1,Fully Documented,53
amazon-web-services,141687,1,1,Fully Documented,54
flutter,140689,1,1,Fully Documented,55
vb.net,138030,1,1,Fully Documented,56
multithreading,136160,1,1,Fully Documented,57
list,133789,1,1,Fully Documented,58
firebase,132195,1,1,Fully Documented,59
dataframe,128608,1,1,Fully Documented,60
spring-boot,128162,1,1,Fully Documented,61
eclipse,124008,1,1,Fully Documented,62
azure,123370,1,1,Fully Documented,63
react-native,122578,1,1,Fully Documented,64
docker,120499,1,1,Fully Documented,65
algorithm,116059,1,1,Fully Documented,66
macos,113098,1,1,Fully Documented,67
forms,111251,1,1,Fully Documented,68
visual-studio,110882,1,1,Fully Documented,69
image,110843,1,1,Fully Documented,70
scala,109680,1,1,Fully Documented,71
powershell,106818,1,1,Fully Documented,72
numpy,105856,1,1,Fully Documented,73
function,105368,1,1,Fully Documented,74
api,103289,1,1,Fully Documented,75
twitter-bootstrap,102633,1,1,Fully Documented,76
selenium,99988,1,1,Fully Documented,77
performance,98447,1,1,Fully Documented,78
vue.js,97529,1,1,Fully Documented,79
winforms,96327,1,1,Fully Documented,80
python-2.7,95199,1,1,Fully Documented,81
matlab,93455,1,1,Fully Documented,82
sqlite,92485,1,1,Fully Documented,83
hibernate,91980,1,1,Fully Documented,84
loops,91635,1,1,Fully Documented,85
apache,91427,1,1,Fully Documented,86
rest,90005,1,1,Fully Documented,87
entity-framework,89849,1,1,Fully Documented,88
shell,89185,1,1,Fully Documented,89
express,88622,1,1,Fully Documented,90
android-studio,87504,1,1,Fully Documented,91
csv,86274,1,1,Fully Documented,92
facebook,85719,1,1,Fully Documented,93
maven,84764,1,1,Fully Documented,94
linq,84651,1,1,Fully Documented,95
qt,83372,1,1,Fully Documented,96
unit-testing,81882,1,1,Fully Documented,97
swing,80549,1,1,Fully Documented,98
kotlin,79181,1,1,Fully Documented,99
file,79154,1,1,Fully Documented,100
