account_age_years,user_count,avg_reputation,median_reputation,p90_reputation,p99_reputation,max_reputation,total_reputation,avg_up_votes_given,avg_down_votes_given,avg_profile_views
4,2246206,2.25,1.0,1.0,26.0,15688,5057060,0.08,0.01,0.28
5,2787832,4.15,1.0,1.0,56.0,112653,11568427,0.33,0.04,1.57
6,2198453,8.73,1.0,11.0,117.0,58685,19187436,1.06,0.1,2.09
7,1715832,14.31,1.0,19.0,194.0,195496,24546312,1.89,0.2,2.73
8,1642249,21.51,1.0,23.0,355.0,330532,35325779,2.83,0.3,4.03
9,1724826,29.54,1.0,31.0,499.0,306449,50952880,4.06,0.38,5.12
10,1514107,47.72,1.0,51.0,769.0,254642,72260275,6.46,0.68,7.46
11,1251327,75.93,1.0,89.0,1224.0,345283,95013976,10.1,1.23,10.94
12,1173861,102.38,1.0,112.0,1674.0,817703,120180587,12.85,1.62,13.77
13,1121735,160.15,1.0,183.0,2678.0,755922,179650337,18.58,2.53,21.33
14,678472,346.49,11.0,531.0,5485.0,1211186,235083501,36.53,4.99,42.03
15,358579,739.45,41.0,1254.0,11323.0,663668,265150869,68.09,7.9,80.23
16,199127,1245.22,53.0,2103.0,19374.0,730750,247957421,93.52,12.16,122.36
17,77968,3501.74,352.0,6579.0,49917.0,1053483,273024042,204.29,23.69,346.96
18,21638,9328.19,1521.0,19313.0,119178.0,1357603,201843320,436.98,131.49,1013.42
