vote_type_id,vote_date,vote_count
2,2022-09-25,6445
3,2022-09-25,1402
5,2022-09-25,624
10,2022-09-25,403
1,2022-09-25,333
16,2022-09-25,83
11,2022-09-25,44
15,2022-09-25,23
8,2022-09-25,17
9,2022-09-25,13
12,2022-09-25,4
4,2022-09-25,3
2,2022-09-24,18604
3,2022-09-24,4192
5,2022-09-24,1715
10,2022-09-24,1589
1,2022-09-24,975
16,2022-09-24,179
15,2022-09-24,151
11,2022-09-24,78
8,2022-09-24,37
9,2022-09-24,25
12,2022-09-24,22
4,2022-09-24,4
2,2022-09-23,35187
3,2022-09-23,5482
5,2022-09-23,2800
10,2022-09-23,2405
1,2022-09-23,1655
16,2022-09-23,420
15,2022-09-23,179
11,2022-09-23,132
9,2022-09-23,51
8,2022-09-23,37
12,2022-09-23,35
4,2022-09-23,4
2,2022-09-22,39399
3,2022-09-22,6062
5,2022-09-22,3227
10,2022-09-22,2566
1,2022-09-22,1771
16,2022-09-22,345
15,2022-09-22,253
11,2022-09-22,121
9,2022-09-22,48
8,2022-09-22,43
12,2022-09-22,32
4,2022-09-22,4
2,2022-09-21,38766
3,2022-09-21,6024
5,2022-09-21,2866
10,2022-09-21,2485
1,2022-09-21,1717
16,2022-09-21,411
15,2022-09-21,237
11,2022-09-21,127
9,2022-09-21,56
8,2022-09-21,55
12,2022-09-21,24
4,2022-09-21,7
2,2022-09-20,40799
3,2022-09-20,6179
5,2022-09-20,3053
10,2022-09-20,2741
1,2022-09-20,1732
16,2022-09-20,407
15,2022-09-20,306
11,2022-09-20,152
9,2022-09-20,68
8,2022-09-20,49
12,2022-09-20,35
4,2022-09-20,4
2,2022-09-19,37507
3,2022-09-19,5618
5,2022-09-19,2764
10,2022-09-19,2537
1,2022-09-19,1776
16,2022-09-19,302
15,2022-09-19,297
11,2022-09-19,111
8,2022-09-19,71
9,2022-09-19,36
12,2022-09-19,31
4,2022-09-19,4
2,2022-09-18,19776
3,2022-09-18,4377
5,2022-09-18,1701
10,2022-09-18,1643
1,2022-09-18,1069
15,2022-09-18,201
16,2022-09-18,153
11,2022-09-18,120
9,2022-09-18,29
8,2022-09-18,26
12,2022-09-18,17
4,2022-09-18,1
2,2022-09-17,18796
3,2022-09-17,4417
10,2022-09-17,1760
5,2022-09-17,1706
