cohort,tag,answer_count,avg_score,total_score,user_count,rank_by_count
power_user_top1pct,javascript,178370,3.26,582101,31800,1
power_user_top1pct,python,158342,3.22,510148,19808,2
power_user_top1pct,java,155059,2.62,406859,23271,3
power_user_top1pct,javascript|jquery,143048,2.71,388151,26679,4
power_user_top1pct,html|css,124256,2.79,346829,22680,5
power_user_top1pct,php,121590,2.43,295910,21081,6
power_user_top1pct,c#,110850,2.95,327520,18961,7
power_user_top1pct,android,109726,2.99,328248,17667,8
power_user_top1pct,c++,104485,2.84,296995,13212,9
power_user_top1pct,jquery,95350,2.74,261458,19108,10
power_user_top1pct,r,80309,2.51,201336,3549,11
power_user_top1pct,mysql,71210,2.53,179984,13909,12
power_user_top1pct,c,69236,2.34,162223,10561,13
power_user_top1pct,php|mysql,66916,1.47,98396,15371,14
power_user_top1pct,python|pandas,57851,3.17,183587,4699,15
average_user_1_100rep,html|css,25279,0.28,7182,21383,1
average_user_1_100rep,python,24452,0.39,9462,21755,2
average_user_1_100rep,java,20243,0.38,7767,17430,3
average_user_1_100rep,javascript,19924,0.36,7157,17972,4
average_user_1_100rep,android,15878,0.57,9128,14114,5
average_user_1_100rep,php,14012,0.35,4890,12621,6
average_user_1_100rep,javascript|jquery,11774,0.42,4900,10488,7
average_user_1_100rep,javascript|html,9747,0.29,2830,9111,8
average_user_1_100rep,c#,9353,0.37,3417,8663,9
average_user_1_100rep,c++,8580,0.43,3673,7621,10
average_user_1_100rep,php|mysql,8392,0.21,1770,7686,11
average_user_1_100rep,mysql,7404,0.43,3147,6963,12
average_user_1_100rep,javascript|html|css,7136,0.28,2029,6702,13
average_user_1_100rep,java|android,6890,0.34,2342,6289,14
average_user_1_100rep,excel|vba,6876,0.3,2044,5522,15
