Waiting on bqjob_r2842a4356fc0a5b8_0000019c16f4b422_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r2842a4356fc0a5b8_0000019c16f4b422_1 ... (1s) Current status: RUNNING                                                                                      Waiting on bqjob_r2842a4356fc0a5b8_0000019c16f4b422_1 ... (2s) Current status: RUNNING                                                                                      Waiting on bqjob_r2842a4356fc0a5b8_0000019c16f4b422_1 ... (3s) Current status: RUNNING                                                                                      Waiting on bqjob_r2842a4356fc0a5b8_0000019c16f4b422_1 ... (4s) Current status: RUNNING                                                                                      Waiting on bqjob_r2842a4356fc0a5b8_0000019c16f4b422_1 ... (4s) Current status: DONE   
tag,total_answers,unique_answerers,unique_questions,total_score,avg_score_per_answer,avg_score_per_user,accepted_answers,acceptance_rate_pct,answers_per_question
python,946122,211031,648025,969634,1.025,4.595,326093,34.47,1.46
javascript,705188,197675,467631,710776,1.008,3.596,230936,32.75,1.51
java,348870,113074,247470,344343,0.987,3.045,102279,29.32,1.41
reactjs,291895,92868,198070,367057,1.257,3.952,96217,32.96,1.47
html,276064,102847,183714,198670,0.72,1.932,87668,31.76,1.5
c#,257037,78005,189675,263239,1.024,3.375,87254,33.95,1.36
android,225402,78753,158205,313147,1.389,3.976,57706,25.6,1.42
css,197430,75123,129155,159932,0.81,2.129,61343,31.07,1.53
r,189355,21665,130883,226528,1.196,10.456,81678,43.13,1.45
php,180767,67385,133983,139595,0.772,2.072,55637,30.78,1.35
sql,177883,41053,118942,137715,0.774,3.355,62917,35.37,1.5
pandas,177705,35278,119774,194277,1.093,5.507,74227,41.77,1.48
node.js,170676,79375,123602,215539,1.263,2.715,53750,31.49,1.38
python-3.x,167391,63835,115448,169215,1.011,2.651,60804,36.32,1.45
c++,162737,39088,116476,243744,1.498,6.236,60032,36.89,1.4
flutter,144192,35079,93720,233730,1.621,6.663,43172,29.94,1.54
arrays,141794,56945,83652,129850,0.916,2.28,47113,33.23,1.7
angular,123084,43645,86053,142048,1.154,3.255,37282,30.29,1.43
typescript,118025,47189,82683,193786,1.642,4.107,43775,37.09,1.43
mysql,100570,42520,72320,77018,0.766,1.811,32921,32.73,1.39
dataframe,97607,21294,63579,105493,1.081,4.954,41062,42.07,1.54
django,97223,32381,74590,83166,0.855,2.568,33511,34.47,1.3
c,94301,22823,62331,117067,1.241,5.129,31531,33.44,1.51
json,93365,50473,65965,82485,0.883,1.634,34092,36.51,1.42
jquery,91892,42853,65472,63145,0.687,1.474,29970,32.61,1.4
swift,89063,23404,65352,121174,1.361,5.177,31762,35.66,1.36
