Waiting on bqjob_r70d1e52f4548ab93_0000019c16f57451_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r70d1e52f4548ab93_0000019c16f57451_1 ... (1s) Current status: RUNNING                                                                                      Waiting on bqjob_r70d1e52f4548ab93_0000019c16f57451_1 ... (2s) Current status: RUNNING                                                                                      Waiting on bqjob_r70d1e52f4548ab93_0000019c16f57451_1 ... (3s) Current status: RUNNING                                                                                      Waiting on bqjob_r70d1e52f4548ab93_0000019c16f57451_1 ... (3s) Current status: DONE   
tag,total_answers,unique_answerers,unique_questions,avg_score,accept_rate_pct,answers_per_q,opportunity_score,expected_score_per_answer,questions_per_answerer,opportunity_tier
python,946122,211031,648025,1.025,34.47,1.46,341.29,0.353,3.07,A - High Opportunity
r,189355,21665,130883,1.196,43.13,1.45,317.16,0.516,6.04,A - High Opportunity
c++,162737,39088,116476,1.498,36.89,1.4,232.97,0.553,2.98,A - High Opportunity
javascript,705188,197675,467631,1.008,32.75,1.51,230.22,0.33,2.37,A - High Opportunity
rust,18739,4858,14663,2.411,50.4,1.28,200.01,1.215,3.02,A - High Opportunity
pandas,177705,35278,119774,1.093,41.77,1.48,196.27,0.457,3.4,A - High Opportunity
reactjs,291895,92868,198070,1.257,32.96,1.47,182.81,0.415,2.13,A - High Opportunity
c#,257037,78005,189675,1.024,33.95,1.36,174.22,0.348,2.43,A - High Opportunity
typescript,118025,47189,82683,1.642,37.09,1.43,162.38,0.609,1.75,A - High Opportunity
swiftui,28733,7153,20286,2.221,42.64,1.42,160.34,0.947,2.84,A - High Opportunity
haskell,9242,1580,6789,2.787,45.69,1.36,159.76,1.273,4.3,A - High Opportunity
flutter,144192,35079,93720,1.621,29.94,1.54,157.85,0.485,2.67,A - High Opportunity
swift,89063,23404,65352,1.361,35.66,1.36,152.09,0.485,2.79,A - High Opportunity
java,348870,113074,247470,0.987,29.32,1.41,151.06,0.289,2.19,A - High Opportunity
ggplot2,20915,4086,16649,1.329,52.21,1.26,143.82,0.694,4.07,A - High Opportunity
android,225402,78753,158205,1.389,25.6,1.42,140.74,0.356,2.01,A - High Opportunity
dataframe,97607,21294,63579,1.081,42.07,1.54,129.04,0.455,2.99,A - High Opportunity
node.js,170676,79375,123602,1.263,31.49,1.38,126.36,0.398,1.56,A - High Opportunity
julia,6076,1156,4551,2.607,47.32,1.34,123.67,1.234,3.94,A - High Opportunity
c++20,4017,967,2808,3.671,51.43,1.43,119.17,1.888,2.9,A - High Opportunity
dart,75337,21420,48125,1.76,31.64,1.57,116.97,0.557,2.25,A - High Opportunity
python-3.x,167391,63835,115448,1.011,36.32,1.45,115.72,0.367,1.81,A - High Opportunity
kotlin,55913,20308,39317,1.618,36.39,1.42,114.25,0.589,1.94,A - High Opportunity
c,94301,22823,62331,1.241,33.44,1.51,113.2,0.415,2.73,A - High Opportunity
sql,177883,41053,118942,0.774,35.37,1.5,107.48,0.274,2.9,A - High Opportunity
raku,1038,122,637,6.059,48.75,1.63,104.53,2.954,5.22,A - High Opportunity
vue.js,61051,24213,44649,1.328,36.88,1.37,102.79,0.49,1.84,A - High Opportunity
assembly,7411,2227,6107,2.242,42.83,1.21,102.38,0.96,2.74,A - High Opportunity
go,28867,11008,21876,1.722,37.34,1.32,101.59,0.643,1.99,A - High Opportunity
ios,87597,35430,62864,1.544,27.21,1.39,100.68,0.42,1.77,A - High Opportunity
angular,123084,43645,86053,1.154,30.29,1.43,100.67,0.35,1.97,A - High Opportunity
dplyr,25888,3326,15358,1.422,43.91,1.69,98.67,0.625,4.62,B - Medium-High
firebase,61256,26651,45810,1.287,36.17,1.34,97.65,0.465,1.72,B - Medium-High
amazon-web-services,65479,28361,50228,1.338,31.65,1.3,96.86,0.423,1.77,B - Medium-High
docker,61714,34491,44711,1.851,29.74,1.38,96.03,0.551,1.3,B - Medium-High
matplotlib,26220,10872,20966,1.285,45.59,1.25,94.16,0.586,1.93,B - Medium-High
django,97223,32381,74590,0.855,34.47,1.3,93.77,0.295,2.3,B - Medium-High
postgresql,60233,23264,45012,1.123,37.46,1.34,92.81,0.421,1.93,B - Medium-High
language-lawyer,3030,797,1994,4.279,46.57,1.52,92.62,1.993,2.5,B - Medium-High
google-sheets,28743,5013,21906,0.897,43.44,1.31,91.83,0.389,4.37,B - Medium-High
php,180767,67385,133983,0.772,30.78,1.35,90.93,0.238,1.99,B - Medium-High
