Waiting on bqjob_r644cc85e85a83084_0000019c16f629ba_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r644cc85e85a83084_0000019c16f629ba_1 ... (1s) Current status: RUNNING                                                                                      Waiting on bqjob_r644cc85e85a83084_0000019c16f629ba_1 ... (2s) Current status: RUNNING                                                                                      Waiting on bqjob_r644cc85e85a83084_0000019c16f629ba_1 ... (3s) Current status: RUNNING                                                                                      Waiting on bqjob_r644cc85e85a83084_0000019c16f629ba_1 ... (4s) Current status: RUNNING                                                                                      Waiting on bqjob_r644cc85e85a83084_0000019c16f629ba_1 ... (4s) Current status: DONE   
tag,unique_questions,unique_answerers,total_answers,questions_per_answerer,avg_score,accept_rate_pct,answers_per_q,avg_answers_on_q,underserved_score,est_rep_per_year_1pd,opportunity_category
haskell,6789,1580,9242,4.3,2.787,45.69,1.36,1.92,547.14,10172.0,HIDDEN GEM
rust,14663,4858,18739,3.02,2.411,50.4,1.28,1.7,366.72,8799.0,HIGH POTENTIAL
r,130883,21665,189355,6.04,1.196,43.13,1.45,2.01,311.74,4367.0,HIDDEN GEM
dplyr,15358,3326,25888,4.62,1.422,43.91,1.69,2.26,288.41,5192.0,HIDDEN GEM
ggplot2,16649,4086,20915,4.07,1.329,52.21,1.26,1.59,282.64,4850.0,HIDDEN GEM
swiftui,20286,7153,28733,2.84,2.221,42.64,1.42,2.39,268.53,8105.0,MODERATE POTENTIAL
assembly,6107,2227,7411,2.74,2.242,42.83,1.21,1.64,263.27,8182.0,MODERATE POTENTIAL
google-sheets-formula,6008,1129,8282,5.32,0.919,45.63,1.38,1.74,223.11,3354.0,HIGH POTENTIAL
shiny,8049,2286,9161,3.52,0.991,56.83,1.14,1.35,198.34,3618.0,HIGH POTENTIAL
tidyverse,5453,1763,9052,3.09,1.42,45.05,1.66,2.21,197.82,5182.0,HIGH POTENTIAL
google-sheets,21906,5013,28743,4.37,0.897,43.44,1.31,1.72,170.17,3272.0,MODERATE POTENTIAL
c++,116476,39088,162737,2.98,1.498,36.89,1.4,2.22,164.64,5467.0,MODERATE POTENTIAL
pandas,119774,35278,177705,3.4,1.093,41.77,1.48,2.08,155.04,3990.0,HIGH POTENTIAL
google-apps-script,18106,4577,22897,3.96,0.907,42.52,1.26,1.65,152.65,3312.0,HIGH POTENTIAL
awk,6224,1861,13776,3.34,1.431,30.7,2.21,3.3,146.9,5222.0,MODERATE POTENTIAL
pyqt5,5151,2056,5920,2.51,1.04,56.28,1.15,1.56,146.63,3796.0,MODERATE POTENTIAL
scala,15433,5762,20222,2.68,1.338,38.02,1.31,1.99,136.27,4884.0,MODERATE POTENTIAL
dataframe,63579,21294,97607,2.99,1.081,42.07,1.54,2.15,135.76,3945.0,MODERATE POTENTIAL
swift,65352,23404,89063,2.79,1.361,35.66,1.36,2.67,135.49,4966.0,MODERATE POTENTIAL
flutter,93720,35079,144192,2.67,1.621,29.94,1.54,2.79,129.66,5917.0,MODERATE POTENTIAL
dart,48125,21420,75337,2.25,1.76,31.64,1.57,2.9,125.11,6423.0,COMPETITIVE
azure-pipelines,5637,2676,7547,2.11,1.353,40.65,1.34,1.8,115.88,4939.0,COMPETITIVE
azure-devops,13553,5718,17912,2.37,1.233,39.15,1.32,1.85,114.41,4500.0,COMPETITIVE
c,62331,22823,94301,2.73,1.241,33.44,1.51,2.34,113.36,4531.0,MODERATE POTENTIAL
python,648025,211031,946122,3.07,1.025,34.47,1.46,2.39,108.47,3741.0,MODERATE POTENTIAL
apache-spark-sql,8283,3280,11143,2.53,1.062,39.63,1.35,1.98,106.25,3875.0,MODERATE POTENTIAL
powershell,28802,11709,38551,2.46,1.078,38.46,1.34,2.15,101.95,3933.0,COMPETITIVE
pyspark,14938,5838,19473,2.56,1.012,39.19,1.3,1.84,101.49,3694.0,MODERATE POTENTIAL
google-bigquery,9518,3369,12955,2.83,0.918,38.74,1.36,1.79,100.52,3352.0,MODERATE POTENTIAL
mongodb-query,5210,2160,6525,2.41,0.893,46.53,1.25,1.8,100.19,3258.0,COMPETITIVE
snowflake-cloud-data-platform,6779,1855,9914,3.65,0.866,31.52,1.46,1.85,99.8,3162.0,MODERATE POTENTIAL
