Waiting on bqjob_re894f99b4fa88f3_0000019c16f4b3c5_1 ... (0s) Current status: RUNNING                                                                                     Waiting on bqjob_re894f99b4fa88f3_0000019c16f4b3c5_1 ... (0s) Current status: DONE   
cohort_year,users_reached_1000,avg_days_to_1000,median_days_to_1000,p25_days_to_1000,p75_days_to_1000,p90_days_to_1000,fast_achievers,pct_fast_achievers,slow_achievers,pct_slow_achievers
2008,8776,475.1543983591614,151,19,613,1408,3778,43.049225159525975,2989,34.0587967183227
2009,15999,753.3043940246265,464,106,1079,1983,3721,23.257703606475406,8892,55.578473654603414
2010,18124,843.1912381372764,574,186,1232,2096,3152,17.391304347826086,11322,62.46965349812403
2011,22432,854.4183309557776,600,204,1279,2085,3697,16.480920114122682,14340,63.9265335235378
2012,21386,873.7213597680727,631,224,1336,2077,3226,15.084634807818198,13997,65.44935939399608
2013,16747,883.8063533767242,716,227,1357,2026,2533,15.125097032304295,11168,66.6865707290858
2014,10654,846.9787873099307,712,273,1284,1866,1424,13.365871972967899,7405,69.50441148864276
2015,7816,758.265864892528,625,239,1150,1677,1120,14.329580348004095,5221,66.79887410440124
2016,5606,683.0205137352838,581,209,1057,1487,864,15.412058508740634,3579,63.84231180877631
2017,3442,604.369552585706,516,188,962,1303,552,16.037187681580477,2093,60.80766995932597
2018,1940,498.8896907216496,413,146,778,1087,360,18.556701030927837,1066,54.948453608247426
2019,1079,370.06765523632987,293,101,596,838,249,23.076923076923077,453,41.98331788693234
2020,638,274.9686520376176,220,71,418,622,183,28.683385579937305,206,32.288401253918494
2021,236,178.9279661016949,164,60,274,379,82,34.74576271186441,30,12.711864406779661
2022,42,83.45238095238096,75,38,130,149,24,57.14285714285714,0,0.0
