Waiting on bqjob_r28ecb719fc018f2f_0000019c16f55993_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r28ecb719fc018f2f_0000019c16f55993_1 ... (0s) Current status: DONE   
activity_bucket,cohort_year,users,avg_days_to_1000,median_days_to_1000,pct_fast_achievers
1_low_1_5,2008,3491,834.9650529934117,527,11.830421082784301
1_low_1_5,2009,9745,1011.4516162134429,751,5.520779887121601
1_low_1_5,2010,12900,1029.9105426356589,781,5.89922480620155
1_low_1_5,2011,16066,1039.8067969625295,806,5.533424623428358
1_low_1_5,2012,15796,1041.7669030134211,855,5.65966067358825
1_low_1_5,2013,12463,1048.2391879964698,921,6.338762737703603
1_low_1_5,2014,7933,979.9684860708433,875,6.517080549602924
1_low_1_5,2015,5683,892.2187225057186,791,6.352278726024988
1_low_1_5,2016,3951,815.0334092634777,747,7.137433561123766
1_low_1_5,2017,2362,725.053767993226,670,8.425063505503811
1_low_1_5,2018,1251,613.8625099920064,583,10.151878497202238
1_low_1_5,2019,566,479.2897526501767,448,13.250883392226148
1_low_1_5,2020,282,351.86170212765956,336,18.79432624113475
2_medium_6_20,2008,2963,370.2068849139386,124,44.178197772527845
2_medium_6_20,2009,3257,544.6370893460238,260,26.496776174393617
2_medium_6_20,2010,2596,597.298536209553,323,20.878274268104775
2_medium_6_20,2011,2978,618.8146406984554,347,19.241101410342512
2_medium_6_20,2012,2629,596.9353366298972,331,19.09471281856219
2_medium_6_20,2013,1887,632.3041865394806,373,18.547959724430314
2_medium_6_20,2014,1265,653.4142292490119,443,15.573122529644268
2_medium_6_20,2015,920,572.8913043478262,405,14.456521739130434
2_medium_6_20,2016,686,526.3309037900875,372,17.346938775510203
2_medium_6_20,2017,432,499.77777777777777,361,15.277777777777779
2_medium_6_20,2018,279,419.8673835125448,307,16.129032258064516
2_medium_6_20,2019,140,385.97857142857134,303,12.142857142857142
2_medium_6_20,2020,65,363.38461538461536,324,12.307692307692308
3_high_21_50,2008,1475,96.26033898305084,25,82.37288135593221
3_high_21_50,2009,1835,206.31662125340597,60,65.44959128065395
3_high_21_50,2010,1481,260.26873733963527,84,52.93720459149224
3_high_21_50,2011,1857,280.31663974151854,100,46.25740441572429
3_high_21_50,2012,1615,335.79133126934977,119,42.10526315789473
3_high_21_50,2013,1240,343.2685483870968,133,37.41935483870968
3_high_21_50,2014,749,418.4726301735647,209,27.50333778371162
3_high_21_50,2015,591,422.72927241962776,213,27.411167512690355
3_high_21_50,2016,495,380.0404040404039,196,29.09090909090909
3_high_21_50,2017,310,328.4645161290323,219,26.129032258064516
3_high_21_50,2018,194,268.1804123711341,169,24.742268041237114
3_high_21_50,2019,149,286.4093959731544,206,18.79194630872483
3_high_21_50,2020,85,287.3058823529412,227,14.117647058823529
4_very_high_50plus,2008,847,19.108618654073197,9,99.29161747343565
4_very_high_50plus,2009,1162,37.045611015490536,19,96.29948364888124
4_very_high_50plus,2010,1147,52.403661726242355,25,92.8509154315606
4_very_high_50plus,2011,1531,63.617243631613334,28,89.87589810581319
4_very_high_50plus,2012,1346,87.67384843982168,33,85.43833580980683
4_very_high_50plus,2013,1157,102.0648228176318,41,80.29386343993086
4_very_high_50plus,2014,707,155.04526166902406,52,71.28712871287128
4_very_high_50plus,2015,622,127.38585209003215,50,74.59807073954984
4_very_high_50plus,2016,474,125.80801687763714,60,67.29957805907173
4_very_high_50plus,2017,338,147.73668639053253,70,60.946745562130175
4_very_high_50plus,2018,216,142.28703703703704,65,64.81481481481481
4_very_high_50plus,2019,224,139.7901785714286,75,57.58928571428571
4_very_high_50plus,2020,206,136.7184466019418,83,53.398058252427184
