Waiting on bqjob_r2ec8207594bf8346_0000019c16f5ecbd_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r2ec8207594bf8346_0000019c16f5ecbd_1 ... (0s) Current status: DONE   
cohort_year,users_with_answers,total_answers,total_score,avg_score_per_answer,avg_user_score_per_answer,median_user_score_per_answer,p90_user_score_per_answer,pct_reaching_100_score,pct_reaching_1000_score
2008,18528,523451,6658285,12.719977610129696,12.109427876526176,3.880952380952381,20.5,31.487478411053544,7.037996545768567
2009,50214,827245,6087282,7.358499598063451,6.52682245212088,2.0,11.0,14.213167642490143,2.2463854701875974
2010,92507,889832,4639208,5.213577394384558,5.352242866847836,1.037037037037037,8.651162790697674,7.401602040926633,0.8691234176873102
2011,135073,1183861,4997675,4.221504889509832,4.78239131933018,1.0,7.75,5.993795947376604,0.5633990508835963
2012,178970,1253605,4270786,3.4068035784796646,3.9699642355289813,1.0,7.0,4.1392412136112195,0.2939040062580321
2013,210409,1202447,3053932,2.5397643305692474,2.9903000789001566,0.9210526315789473,5.0,2.6548294036852034,0.12499465327053501
2014,193896,908642,1895857,2.0864730003675813,2.3775247905586627,0.5,4.0,1.6766720303667948,0.07478235755250237
2015,192457,839026,1560321,1.8596813447974199,2.0017432662436905,0.5,4.0,1.3488727352083842,0.04572449949858929
2016,184443,751516,1266541,1.6853147504510881,1.7719753834994278,0.35714285714285715,3.5,1.0989845101196576,0.03632558568229751
2017,163798,593861,916478,1.5432533875772276,1.6216312155637809,0.25,3.0,0.8229648713659508,0.021367782268403766
2018,139173,478810,673421,1.4064472337670475,1.4500780552412083,0.16666666666666666,3.0,0.6287139028403498,0.019400314716216508
2019,134705,452804,528210,1.1665312143885656,1.226889651421044,0.0,3.0,0.46471920121747523,0.01410489588359749
2020,151156,471305,428436,0.9090419155324047,0.9583072886798972,0.0,2.0,0.2871205906480722,0.007277249993384319
2021,126570,362421,240722,0.6642054406339588,0.6398638304097596,0.0,2.0,0.16117563403650154,0.005530536462036818
