speed_bucket,length_bucket,rep_bucket,total_answers,accepted_count,acceptance_rate_pct,avg_score
Fast (<4hr),Long,High (25k+),185278,111706,60.29102213970358,2.545218536469522
Medium (4-72hr),Long,High (25k+),78953,44809,56.75401821336745,2.1760034450875834
Fast (<4hr),Medium,High (25k+),963747,515565,53.49588636851787,1.9207551359433543
Fast (<4hr),Long,Mid (1k-25k),235131,124378,52.89732106783027,1.6613759989112453
Medium (4-72hr),Long,Mid (1k-25k),129775,67947,52.35754189944134,1.6601887882874211
Medium (4-72hr),Medium,High (25k+),195867,93582,47.77833938335707,1.4330234291636672
Fast (<4hr),Short,High (25k+),446258,208490,46.71961062882906,1.6589058347413383
Fast (<4hr),Medium,Mid (1k-25k),1419640,626055,44.099560451945564,1.3893487081231866
Medium (4-72hr),Medium,Mid (1k-25k),452243,197684,43.71189824939247,1.279166288919895
Medium (4-72hr),Long,Low (<1k),61929,26512,42.8103150381889,0.8805406190960618
Medium (4-72hr),Short,High (25k+),67460,27133,40.22087162763119,1.1370886451230358
Fast (<4hr),Long,Low (<1k),100527,40038,39.82810588200185,0.8290111114426968
Medium (4-72hr),Short,Mid (1k-25k),208774,78709,37.70057574219012,1.085326716928353
Fast (<4hr),Short,Mid (1k-25k),860555,313751,36.4591455514174,1.2161488806642224
Medium (4-72hr),Medium,Low (<1k),332561,120949,36.36896689629873,0.7537113491960876
Fast (<4hr),Medium,Low (<1k),866536,272961,31.500249268351226,0.7193226824967459
Medium (4-72hr),Short,Low (<1k),318630,94495,29.656655054451875,0.5616231993220979
Slow (72hr+),Long,High (25k+),26578,7750,29.15945518850177,6.645082398976597
Slow (72hr+),Long,Mid (1k-25k),102051,25369,24.859139057922018,4.507079793436616
Fast (<4hr),Short,Low (<1k),1007619,237373,23.557813022580955,0.5488433624217088
Slow (72hr+),Medium,High (25k+),61826,13209,21.36479798143176,4.038689224598066
Slow (72hr+),Short,High (25k+),25448,4580,17.99748506758881,3.0650345803206536
Slow (72hr+),Long,Low (<1k),112944,20071,17.770753647825472,1.7031714832129197
Slow (72hr+),Medium,Mid (1k-25k),427012,68457,16.03163377141626,3.926379118151245
Slow (72hr+),Short,Mid (1k-25k),309317,39377,12.730305802784844,3.840752367312496
Slow (72hr+),Medium,Low (<1k),722859,88714,12.272656216495886,1.5959059788976828
Slow (72hr+),Short,Low (<1k),905405,92318,10.196320983427306,1.369133150358126
