badge_name,class,class_name,tag_based,times_awarded,unique_recipients,pct_of_total
Popular Question,3,Bronze,false,194147,162620,19.24
Notable Question,2,Silver,false,93873,83709,9.3
Autobiographer,3,Bronze,false,92957,92957,9.21
Informed,3,Bronze,false,89964,89964,8.91
Editor,3,Bronze,false,82854,82854,8.21
Yearling,2,Silver,false,80047,78912,7.93
Student,3,Bronze,false,53471,53471,5.3
Scholar,3,Bronze,false,37832,37832,3.75
Supporter,3,Bronze,false,33605,33605,3.33
Teacher,3,Bronze,false,33508,33508,3.32
Nice Answer,3,Bronze,false,27424,22255,2.72
Famous Question,1,Gold,false,25421,24116,2.52
Necromancer,2,Silver,false,20619,18924,2.04
Custodian,3,Bronze,false,15406,12713,1.53
Commentator,3,Bronze,false,14061,14061,1.39
Nice Question,3,Bronze,false,13013,12482,1.29
Revival,3,Bronze,false,11871,11423,1.18
Good Answer,2,Silver,false,10842,9520,1.07
Peer Pressure,3,Bronze,false,7826,7826,0.78
Enlightened,2,Silver,false,7780,5968,0.77
Critic,3,Bronze,false,7687,7687,0.76
Announcer,3,Bronze,false,5789,4869,0.57
Curious,3,Bronze,false,5247,5247,0.52
Good Question,2,Silver,false,4984,4855,0.49
Enthusiast,2,Silver,false,4638,4638,0.46
Self-Learner,3,Bronze,false,4045,4045,0.4
Citizen Patrol,3,Bronze,false,2779,2779,0.28
Guru,2,Silver,false,2624,2331,0.26
Great Answer,1,Gold,false,2302,2151,0.23
Civic Duty,2,Silver,false,1923,1923,0.19
