week_start,class,class_name,badges_awarded,unique_users,unique_badge_types
2022-06-26,1,Gold,2330,2294,23
2022-06-26,2,Silver,16561,15966,57
2022-06-26,3,Bronze,53000,46423,164
2022-07-03,1,Gold,2423,2395,24
2022-07-03,2,Silver,17465,16933,45
2022-07-03,3,Bronze,55188,48246,164
2022-07-10,1,Gold,2349,2330,24
2022-07-10,2,Silver,17471,16902,56
2022-07-10,3,Bronze,53185,46062,147
2022-07-17,1,Gold,2451,2434,26
2022-07-17,2,Silver,18059,17502,51
2022-07-17,3,Bronze,54512,47219,143
2022-07-24,1,Gold,2567,2536,35
2022-07-24,2,Silver,18266,17628,53
2022-07-24,3,Bronze,55421,48267,167
2022-07-31,1,Gold,2472,2457,21
2022-07-31,2,Silver,17897,17333,56
2022-07-31,3,Bronze,58796,51706,155
2022-08-07,1,Gold,2435,2407,23
2022-08-07,2,Silver,17448,16890,51
2022-08-07,3,Bronze,57849,50541,156
2022-08-14,1,Gold,2418,2396,28
2022-08-14,2,Silver,17395,16879,49
2022-08-14,3,Bronze,56427,49670,167
2022-08-21,1,Gold,2551,2526,31
2022-08-21,2,Silver,17876,17270,48
2022-08-21,3,Bronze,58894,51666,158
2022-08-28,1,Gold,2476,2436,25
2022-08-28,2,Silver,17651,17032,57
2022-08-28,3,Bronze,59543,52566,158
2022-09-04,1,Gold,2415,2391,22
2022-09-04,2,Silver,17691,17081,60
2022-09-04,3,Bronze,59621,53057,166
2022-09-11,1,Gold,2517,2499,31
2022-09-11,2,Silver,20291,19677,55
2022-09-11,3,Bronze,61109,54417,159
2022-09-18,1,Gold,2478,2464,23
2022-09-18,2,Silver,18533,17919,59
2022-09-18,3,Bronze,61262,54380,165
