answer_year,total_answers,total_score,avg_score,median_score,p90_score,p99_score,pct_positive,pct_high_score,unique_answerers,answers_per_user,avg_comments_per_answer,total_comments,yoy_answer_growth_pct
2008,209513,3301359,15.76,2,18,238,75.9,16.82,15772,13.3,0.99,207163,
2009,931215,8026093,8.62,2,11,118,72.7,11.66,55874,16.7,1.15,1067468,344.5
2010,1456666,9363325,6.43,1,9,86,70.9,9.46,124882,11.7,1.25,1815095,56.4
2011,2264350,11818230,5.22,1,8,69,69.0,7.79,205717,11.0,1.3,2939866,55.4
2012,2823422,12278133,4.35,1,7,55,67.2,6.7,301120,9.4,1.32,3736044,24.7
2013,3314677,12125961,3.66,1,6,46,62.5,5.68,400111,8.3,1.32,4380482,17.4
2014,3196317,9461807,2.96,1,5,38,58.7,4.52,452305,7.1,1.29,4113649,-3.6
2015,3143467,8612823,2.74,1,5,34,58.8,4.29,495576,6.3,1.27,4007070,-1.7
2016,3072291,7953249,2.59,1,4,33,57.5,4.07,520261,5.9,1.26,3884530,-2.3
2017,2903966,6870128,2.37,1,4,30,56.0,3.81,526505,5.5,1.23,3576456,-5.5
2018,2552774,5502244,2.16,1,4,26,56.4,3.48,500419,5.1,1.18,3021637,-12.1
2019,2396507,4276591,1.78,1,4,21,54.7,2.68,492691,4.9,1.1,2628859,-6.1
2020,2443453,3433422,1.41,1,3,15,53.4,1.78,525399,4.7,1.04,2540373,2.0
2021,2004334,2156240,1.08,0,3,9,49.9,0.98,473090,4.2,0.98,1964407,-18.0
2022,1311167,903488,0.69,0,2,5,42.1,0.25,361068,3.6,0.89,1162798,-34.6
