primary_tag,question_count,avg_score,positive_score_count,pct_positive,high_score_count,pct_high_score,avg_views,avg_answers,pct_accepted
python,272574,0.22,70646,25.92,1366,0.5,165.0,0.96,36.12
javascript,189798,0.25,50736,26.73,971,0.51,186.0,0.95,34.33
java,88671,0.21,20851,23.52,512,0.58,177.0,0.81,28.29
c#,71676,0.23,18001,25.11,436,0.61,176.0,0.87,33.98
r,51882,0.53,19235,37.07,418,0.81,90.0,1.05,46.52
reactjs,49172,0.39,13580,27.62,403,0.82,320.0,0.81,28.48
android,46015,0.47,12457,27.07,697,1.51,238.0,0.68,22.96
c++,42930,0.46,13590,31.66,992,2.31,128.0,0.91,37.02
php,42475,0.08,8869,20.88,109,0.26,152.0,0.79,28.5
flutter,34653,0.36,9463,27.31,246,0.71,243.0,0.99,31.81
node.js,32089,0.34,7698,23.99,226,0.7,304.0,0.67,23.68
sql,31203,0.02,6274,20.11,31,0.1,107.0,1.15,42.86
html,29973,0.17,7229,24.12,96,0.32,119.0,1.08,34.99
angular,20112,0.21,4205,20.91,97,0.48,255.0,0.81,28.51
c,19282,0.19,5371,27.85,136,0.71,110.0,1.09,38.68
ios,18220,0.43,5104,28.01,267,1.47,220.0,0.68,25.8
mysql,18042,0.06,3483,19.3,31,0.17,122.0,0.91,34.15
excel,16690,0.16,3361,20.14,17,0.1,85.0,0.85,31.61
python-3.x,15665,0.19,3303,21.09,45,0.29,160.0,0.7,29.85
amazon-web-services,15558,0.32,4004,25.74,88,0.57,232.0,0.68,26.96
typescript,14236,0.67,5785,40.64,217,1.52,231.0,0.82,38.92
django,11738,0.23,2497,21.27,25,0.21,127.0,0.72,28.8
css,11645,0.28,3072,26.38,73,0.63,179.0,0.91,32.19
azure,11427,0.22,2255,19.73,32,0.28,223.0,0.85,30.24
docker,11127,0.44,3061,27.51,144,1.29,376.0,0.68,25.29
