tag_name,question_count,pct_of_total,cumulative_pct,popularity_rank
javascript,2426650,3.5508,3.55,1
python,2026741,2.9656,6.52,2
java,1866104,2.7306,9.25,3
c#,1559412,2.2818,11.53,4
php,1445747,2.1155,13.64,5
android,1386459,2.0287,15.67,6
html,1146245,1.6772,17.35,7
jquery,1029561,1.5065,18.86,8
c++,776837,1.1367,19.99,9
css,771867,1.1294,21.12,10
ios,674982,0.9877,22.11,11
mysql,651413,0.9532,23.06,12
sql,643145,0.9411,24.0,13
r,464242,0.6793,24.68,14
node.js,442811,0.6479,25.33,15
reactjs,415837,0.6085,25.94,16
arrays,398827,0.5836,26.52,17
c,385511,0.5641,27.09,18
asp.net,370124,0.5416,27.63,19
json,346406,0.5069,28.14,20
ruby-on-rails,334202,0.489,28.63,21
.net,323469,0.4733,29.1,22
python-3.x,323080,0.4727,29.57,23
sql-server,322908,0.4725,30.04,24
swift,318734,0.4664,30.51,25
django,297375,0.4351,30.95,26
objective-c,292498,0.428,31.37,27
angular,284434,0.4162,31.79,28
excel,269415,0.3942,32.18,29
angularjs,262553,0.3842,32.57,30
pandas,259731,0.38,32.95,31
regex,252843,0.37,33.32,32
ruby,225734,0.3303,33.65,33
iphone,221512,0.3241,33.97,34
ajax,220582,0.3228,34.3,35
linux,219528,0.3212,34.62,36
xml,210126,0.3075,34.92,37
vba,203265,0.2974,35.22,38
spring,200190,0.2929,35.51,39
asp.net-mvc,198937,0.2911,35.81,40
laravel,197762,0.2894,36.09,41
typescript,195355,0.2859,36.38,42
database,189284,0.277,36.66,43
wordpress,186307,0.2726,36.93,44
string,177860,0.2603,37.19,45
mongodb,166640,0.2438,37.43,46
wpf,166629,0.2438,37.68,47
postgresql,159996,0.2341,37.91,48
windows,159882,0.2339,38.15,49
xcode,156423,0.2289,38.38,50
bash,148367,0.2171,38.59,51
oracle,144883,0.212,38.8,52
git,144157,0.2109,39.02,53
amazon-web-services,141687,0.2073,39.22,54
flutter,140689,0.2059,39.43,55
vb.net,138030,0.202,39.63,56
multithreading,136160,0.1992,39.83,57
list,133789,0.1958,40.03,58
firebase,132195,0.1934,40.22,59
dataframe,128608,0.1882,40.41,60
spring-boot,128162,0.1875,40.59,61
eclipse,124008,0.1815,40.78,62
azure,123370,0.1805,40.96,63
react-native,122578,0.1794,41.14,64
docker,120499,0.1763,41.31,65
algorithm,116059,0.1698,41.48,66
macos,113098,0.1655,41.65,67
forms,111251,0.1628,41.81,68
visual-studio,110882,0.1622,41.97,69
image,110843,0.1622,42.13,70
scala,109680,0.1605,42.3,71
powershell,106818,0.1563,42.45,72
numpy,105856,0.1549,42.61,73
function,105368,0.1542,42.76,74
api,103289,0.1511,42.91,75
twitter-bootstrap,102633,0.1502,43.06,76
selenium,99988,0.1463,43.21,77
performance,98447,0.1441,43.35,78
vue.js,97529,0.1427,43.49,79
winforms,96327,0.1409,43.64,80
python-2.7,95199,0.1393,43.78,81
matlab,93455,0.1367,43.91,82
sqlite,92485,0.1353,44.05,83
hibernate,91980,0.1346,44.18,84
loops,91635,0.1341,44.32,85
apache,91427,0.1338,44.45,86
rest,90005,0.1317,44.58,87
entity-framework,89849,0.1315,44.71,88
shell,89185,0.1305,44.84,89
express,88622,0.1297,44.97,90
android-studio,87504,0.128,45.1,91
csv,86274,0.1262,45.23,92
facebook,85719,0.1254,45.35,93
maven,84764,0.124,45.48,94
linq,84651,0.1239,45.6,95
qt,83372,0.122,45.72,96
unit-testing,81882,0.1198,45.84,97
swing,80549,0.1179,45.96,98
kotlin,79181,0.1159,46.08,99
file,79154,0.1158,46.19,100
