vote_date,vote_type_id,vote_count
2022-06-27,1,1825
2022-06-27,2,39993
2022-06-27,3,5880
2022-06-27,4,2
2022-06-27,5,2923
2022-06-27,8,78
2022-06-27,9,46
2022-06-27,10,2574
2022-06-27,11,100
2022-06-27,12,38
2022-06-27,15,257
2022-06-27,16,319
2022-06-28,1,1931
2022-06-28,2,42434
2022-06-28,3,5971
2022-06-28,4,21
2022-06-28,5,3221
2022-06-28,8,59
2022-06-28,9,71
2022-06-28,10,2649
2022-06-28,11,121
2022-06-28,12,54
2022-06-28,15,327
2022-06-28,16,258
2022-06-29,1,1864
2022-06-29,2,42079
2022-06-29,3,6548
2022-06-29,4,79
2022-06-29,5,3115
2022-06-29,8,51
2022-06-29,9,61
2022-06-29,10,2824
2022-06-29,11,104
2022-06-29,12,53
2022-06-29,15,387
2022-06-29,16,286
2022-06-30,1,1878
2022-06-30,2,40825
2022-06-30,3,5911
2022-06-30,4,3
2022-06-30,5,3065
2022-06-30,8,49
2022-06-30,9,38
2022-06-30,10,2932
2022-06-30,11,94
2022-06-30,12,39
2022-06-30,15,386
2022-06-30,16,249
2022-07-01,1,1681
2022-07-01,2,35430
2022-07-01,3,5106
2022-07-01,4,3
2022-07-01,5,2689
2022-07-01,8,42
2022-07-01,9,53
2022-07-01,10,2174
2022-07-01,11,109
2022-07-01,12,26
2022-07-01,15,200
2022-07-01,16,286
2022-07-02,1,982
2022-07-02,2,19110
2022-07-02,3,3762
2022-07-02,4,2
2022-07-02,5,1554
2022-07-02,8,27
2022-07-02,9,49
2022-07-02,10,1622
2022-07-02,11,73
2022-07-02,12,55
2022-07-02,15,151
2022-07-02,16,154
2022-07-03,1,1065
2022-07-03,2,20369
2022-07-03,3,3813
2022-07-03,4,13
2022-07-03,5,1620
2022-07-03,8,45
2022-07-03,9,35
2022-07-03,10,1630
2022-07-03,11,73
2022-07-03,12,20
2022-07-03,15,226
2022-07-03,16,159
2022-07-04,1,1639
2022-07-04,2,34984
2022-07-04,3,5455
2022-07-04,4,7
2022-07-04,5,2595
2022-07-04,8,67
2022-07-04,9,53
2022-07-04,10,2266
2022-07-04,11,90
2022-07-04,12,30
2022-07-04,15,212
2022-07-04,16,269
2022-07-05,1,1847
2022-07-05,2,40038
2022-07-05,3,5805
2022-07-05,4,4
2022-07-05,5,2882
2022-07-05,8,64
2022-07-05,9,70
2022-07-05,10,2434
2022-07-05,11,103
2022-07-05,12,46
2022-07-05,15,229
2022-07-05,16,312
2022-07-06,1,1933
2022-07-06,2,42000
2022-07-06,3,6038
2022-07-06,4,1
2022-07-06,5,3234
2022-07-06,8,40
2022-07-06,9,72
2022-07-06,10,2378
2022-07-06,11,101
2022-07-06,12,44
2022-07-06,15,339
2022-07-06,16,281
2022-07-07,1,1851
2022-07-07,2,41244
2022-07-07,3,6126
2022-07-07,4,8
2022-07-07,5,3031
2022-07-07,8,54
2022-07-07,9,57
2022-07-07,10,2676
2022-07-07,11,123
2022-07-07,12,41
2022-07-07,15,386
2022-07-07,16,327
2022-07-08,1,1656
2022-07-08,2,36287
2022-07-08,3,5376
2022-07-08,4,5
2022-07-08,5,2745
2022-07-08,8,50
2022-07-08,9,38
2022-07-08,10,2276
2022-07-08,11,99
2022-07-08,12,31
2022-07-08,15,174
2022-07-08,16,291
2022-07-09,1,927
2022-07-09,2,18943
2022-07-09,3,4021
2022-07-09,4,1
