week_start,accepted_answers,upvotes,downvotes,total_rep_votes,estimated_rep_created,up_down_ratio,prev_week_upvotes,upvote_wow_pct_change
2022-06-27,11226,240240,36991,288457,2016328,6.49,,
2022-07-04,10852,233039,36441,280332,1954210,6.39,240240,-3.0
2022-07-11,10955,233191,36188,280334,1957477,6.44,233039,0.07
2022-07-18,11474,238763,36795,287032,2008624,6.49,233191,2.39
2022-07-25,11280,234779,37195,283254,1973042,6.31,238763,-1.67
2022-08-01,11079,233654,36719,281452,1961979,6.36,234779,-0.48
2022-08-08,11267,231222,36481,278970,1945819,6.34,233654,-1.04
2022-08-15,11206,231333,37163,279702,1944428,6.22,231222,0.05
2022-08-22,11138,237399,37237,285774,1991788,6.38,231333,2.62
2022-08-29,10880,234476,37167,282523,1964674,6.31,237399,-1.23
2022-09-05,10485,230532,35730,276747,1930071,6.45,234476,-1.68
2022-09-12,11095,234057,38707,283859,1961467,6.05,230532,1.53
2022-09-19,9626,210262,33557,253445,1759372,6.27,234057,-10.17
